time	species	protein	transcript	ribo_density
0.000000	__proteinA_rbs	1.000000	0.000000	0.000000
0.000000	__proteinB_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	12.000000	0.000000	0.000000
3.273728	__proteinA_rbs	0.000000	0.000000	0.000000
3.273728	__proteinB_rbs	1.000000	0.000000	0.000000
3.273728	__ribosome	11.000000	0.000000	0.000000
3.423934	__proteinA_rbs	0.000000	0.000000	0.000000
3.423934	__proteinB_rbs	1.000000	0.000000	0.000000
3.423934	__ribosome	11.000000	0.000000	0.000000
3.453564	__proteinA_rbs	0.000000	0.000000	0.000000
3.453564	__proteinB_rbs	1.000000	0.000000	0.000000
3.453564	__ribosome	11.000000	0.000000	0.000000
4.046794	__proteinA_rbs	1.000000	0.000000	0.000000
4.046794	__proteinB_rbs	1.000000	0.000000	0.000000
4.046794	__ribosome	11.000000	0.000000	0.000000
4.046794	proteinA	0.000000	1.000000	1.000000
5.059511	__proteinA_rbs	0.000000	0.000000	0.000000
5.059511	__proteinB_rbs	1.000000	0.000000	0.000000
5.059511	__ribosome	10.000000	0.000000	0.000000
5.059511	proteinA	0.000000	1.000000	2.000000
6.015565	__proteinA_rbs	0.000000	0.000000	0.000000
6.015565	__proteinB_rbs	1.000000	0.000000	0.000000
6.015565	__ribosome	9.000000	0.000000	0.000000
6.015565	proteinA	0.000000	1.000000	3.000000
7.007513	__proteinA_rbs	0.000000	0.000000	0.000000
7.007513	__proteinB_rbs	1.000000	0.000000	0.000000
7.007513	__ribosome	8.000000	0.000000	0.000000
7.007513	proteinA	0.000000	1.000000	4.000000
7.999550	__proteinA_rbs	1.000000	0.000000	0.000000
7.999550	__proteinB_rbs	1.000000	0.000000	0.000000
7.999550	__ribosome	8.000000	0.000000	0.000000
7.999550	proteinA	0.000000	1.000000	4.000000
9.018824	__proteinA_rbs	1.000000	0.000000	0.000000
9.018824	__proteinB_rbs	1.000000	0.000000	0.000000
9.018824	__ribosome	8.000000	0.000000	0.000000
9.018824	proteinA	0.000000	1.000000	4.000000
10.008672	__proteinA_rbs	1.000000	0.000000	0.000000
10.008672	__proteinB_rbs	1.000000	0.000000	0.000000
10.008672	__ribosome	8.000000	0.000000	0.000000
10.008672	proteinA	0.000000	1.000000	4.000000
11.002574	__proteinA_rbs	1.000000	0.000000	0.000000
11.002574	__proteinB_rbs	1.000000	0.000000	0.000000
11.002574	__ribosome	8.000000	0.000000	0.000000
11.002574	proteinA	0.000000	1.000000	4.000000
11.999974	__proteinA_rbs	1.000000	0.000000	0.000000
11.999974	__proteinB_rbs	1.000000	0.000000	0.000000
11.999974	__ribosome	7.000000	0.000000	0.000000
11.999974	proteinA	0.000000	1.000000	4.000000
11.999974	proteinB	0.000000	1.000000	1.000000
13.005028	__proteinA_rbs	1.000000	0.000000	0.000000
13.005028	__proteinB_rbs	1.000000	0.000000	0.000000
13.005028	__ribosome	7.000000	0.000000	0.000000
13.005028	proteinA	0.000000	1.000000	4.000000
13.005028	proteinB	0.000000	1.000000	1.000000
14.001245	__proteinA_rbs	1.000000	0.000000	0.000000
14.001245	__proteinB_rbs	1.000000	0.000000	0.000000
14.001245	__ribosome	7.000000	0.000000	0.000000
14.001245	proteinA	0.000000	1.000000	4.000000
14.001245	proteinB	0.000000	1.000000	1.000000
15.025149	__proteinA_rbs	0.000000	0.000000	0.000000
15.025149	__proteinB_rbs	1.000000	0.000000	0.000000
15.025149	__ribosome	6.000000	0.000000	0.000000
15.025149	proteinA	0.000000	1.000000	5.000000
15.025149	proteinB	0.000000	1.000000	1.000000
16.000735	__proteinA_rbs	1.000000	0.000000	0.000000
16.000735	__proteinB_rbs	1.000000	0.000000	0.000000
16.000735	__ribosome	6.000000	0.000000	0.000000
16.000735	proteinA	0.000000	1.000000	5.000000
16.000735	proteinB	0.000000	1.000000	1.000000
17.001368	__proteinA_rbs	1.000000	0.000000	0.000000
17.001368	__proteinB_rbs	1.000000	0.000000	0.000000
17.001368	__ribosome	6.000000	0.000000	0.000000
17.001368	proteinA	0.000000	1.000000	5.000000
17.001368	proteinB	0.000000	1.000000	1.000000
18.003407	__proteinA_rbs	1.000000	0.000000	0.000000
18.003407	__proteinB_rbs	0.000000	0.000000	0.000000
18.003407	__ribosome	5.000000	0.000000	0.000000
18.003407	proteinA	0.000000	1.000000	5.000000
18.003407	proteinB	0.000000	1.000000	2.000000
19.001499	__proteinA_rbs	1.000000	0.000000	0.000000
19.001499	__proteinB_rbs	1.000000	0.000000	0.000000
19.001499	__ribosome	5.000000	0.000000	0.000000
19.001499	proteinA	0.000000	1.000000	5.000000
19.001499	proteinB	0.000000	1.000000	2.000000
20.000224	__proteinA_rbs	1.000000	0.000000	0.000000
20.000224	__proteinB_rbs	1.000000	0.000000	0.000000
20.000224	__ribosome	5.000000	0.000000	0.000000
20.000224	proteinA	0.000000	1.000000	5.000000
20.000224	proteinB	0.000000	1.000000	2.000000
21.004510	__proteinA_rbs	1.000000	0.000000	0.000000
21.004510	__proteinB_rbs	1.000000	0.000000	0.000000
21.004510	__ribosome	5.000000	0.000000	0.000000
21.004510	proteinA	0.000000	1.000000	5.000000
21.004510	proteinB	0.000000	1.000000	2.000000
22.024450	__proteinA_rbs	1.000000	0.000000	0.000000
22.024450	__proteinB_rbs	1.000000	0.000000	0.000000
22.024450	__ribosome	6.000000	0.000000	0.000000
22.024450	proteinA	1.000000	1.000000	4.000000
22.024450	proteinB	0.000000	1.000000	2.000000
23.004406	__proteinA_rbs	1.000000	0.000000	0.000000
23.004406	__proteinB_rbs	1.000000	0.000000	0.000000
23.004406	__ribosome	7.000000	0.000000	0.000000
23.004406	proteinA	2.000000	1.000000	3.000000
23.004406	proteinB	0.000000	1.000000	2.000000
24.004138	__proteinA_rbs	1.000000	0.000000	0.000000
24.004138	__proteinB_rbs	1.000000	0.000000	0.000000
24.004138	__ribosome	8.000000	0.000000	0.000000
24.004138	proteinA	3.000000	1.000000	2.000000
24.004138	proteinB	0.000000	1.000000	2.000000
25.046362	__proteinA_rbs	1.000000	0.000000	0.000000
25.046362	__proteinB_rbs	1.000000	0.000000	0.000000
25.046362	__ribosome	9.000000	0.000000	0.000000
25.046362	proteinA	4.000000	1.000000	1.000000
25.046362	proteinB	0.000000	1.000000	2.000000
26.005770	__proteinA_rbs	1.000000	0.000000	0.000000
26.005770	__proteinB_rbs	1.000000	0.000000	0.000000
26.005770	__ribosome	9.000000	0.000000	0.000000
26.005770	proteinA	4.000000	1.000000	1.000000
26.005770	proteinB	0.000000	1.000000	2.000000
27.001772	__proteinA_rbs	1.000000	0.000000	0.000000
27.001772	__proteinB_rbs	1.000000	0.000000	0.000000
27.001772	__ribosome	9.000000	0.000000	0.000000
27.001772	proteinA	4.000000	1.000000	1.000000
27.001772	proteinB	0.000000	1.000000	2.000000
28.071530	__proteinA_rbs	1.000000	0.000000	0.000000
28.071530	__proteinB_rbs	1.000000	0.000000	0.000000
28.071530	__ribosome	10.000000	0.000000	0.000000
28.071530	proteinA	4.000000	1.000000	1.000000
28.071530	proteinB	1.000000	1.000000	1.000000
29.003040	__proteinA_rbs	0.000000	0.000000	0.000000
29.003040	__proteinB_rbs	1.000000	0.000000	0.000000
29.003040	__ribosome	9.000000	0.000000	0.000000
29.003040	proteinA	4.000000	1.000000	2.000000
29.003040	proteinB	1.000000	1.000000	1.000000
30.006127	__proteinA_rbs	1.000000	0.000000	0.000000
30.006127	__proteinB_rbs	0.000000	0.000000	0.000000
30.006127	__ribosome	8.000000	0.000000	0.000000
30.006127	proteinA	4.000000	1.000000	2.000000
30.006127	proteinB	1.000000	1.000000	2.000000
31.032911	__proteinA_rbs	1.000000	0.000000	0.000000
31.032911	__proteinB_rbs	1.000000	0.000000	0.000000
31.032911	__ribosome	9.000000	0.000000	0.000000
31.032911	proteinA	5.000000	1.000000	1.000000
31.032911	proteinB	1.000000	1.000000	2.000000
32.015204	__proteinA_rbs	1.000000	0.000000	0.000000
32.015204	__proteinB_rbs	1.000000	0.000000	0.000000
32.015204	__ribosome	9.000000	0.000000	0.000000
32.015204	proteinA	5.000000	1.000000	1.000000
32.015204	proteinB	1.000000	1.000000	2.000000
33.003359	__proteinA_rbs	1.000000	0.000000	0.000000
33.003359	__proteinB_rbs	1.000000	0.000000	0.000000
33.003359	__ribosome	8.000000	0.000000	0.000000
33.003359	proteinA	5.000000	1.000000	2.000000
33.003359	proteinB	1.000000	1.000000	2.000000
34.065695	__proteinA_rbs	1.000000	0.000000	0.000000
34.065695	__proteinB_rbs	1.000000	0.000000	0.000000
34.065695	__ribosome	8.000000	0.000000	0.000000
34.065695	proteinA	5.000000	1.000000	2.000000
34.065695	proteinB	1.000000	1.000000	2.000000
35.015626	__proteinA_rbs	0.000000	0.000000	0.000000
35.015626	__proteinB_rbs	1.000000	0.000000	0.000000
35.015626	__ribosome	8.000000	0.000000	0.000000
35.015626	proteinA	5.000000	1.000000	3.000000
35.015626	proteinB	2.000000	1.000000	1.000000
36.032899	__proteinA_rbs	1.000000	0.000000	0.000000
36.032899	__proteinB_rbs	1.000000	0.000000	0.000000
36.032899	__ribosome	8.000000	0.000000	0.000000
36.032899	proteinA	5.000000	1.000000	3.000000
36.032899	proteinB	2.000000	1.000000	1.000000
37.016761	__proteinA_rbs	0.000000	0.000000	0.000000
37.016761	__proteinB_rbs	1.000000	0.000000	0.000000
37.016761	__ribosome	7.000000	0.000000	0.000000
37.016761	proteinA	5.000000	1.000000	4.000000
37.016761	proteinB	2.000000	1.000000	1.000000
37.999141	__proteinA_rbs	1.000000	0.000000	0.000000
37.999141	__proteinB_rbs	1.000000	0.000000	0.000000
37.999141	__ribosome	7.000000	0.000000	0.000000
37.999141	proteinA	5.000000	1.000000	4.000000
37.999141	proteinB	2.000000	1.000000	1.000000
