time	species	protein	transcript	ribo_density
0.000000	__proteinP_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
0.999071	__proteinP_rbs	1.000000	0.000000	0.000000
0.999071	__ribosome	99.000000	0.000000	0.000000
0.999071	proteinP	0.000000	1.000000	1.000000
2.001329	__proteinP_rbs	1.000000	0.000000	0.000000
2.001329	__ribosome	98.000000	0.000000	0.000000
2.001329	proteinP	0.000000	1.000000	2.000000
3.000373	__proteinP_rbs	1.000000	0.000000	0.000000
3.000373	__ribosome	98.000000	0.000000	0.000000
3.000373	proteinP	1.000000	1.000000	2.000000
4.001899	__proteinP_rbs	1.000000	0.000000	0.000000
4.001899	__ribosome	97.000000	0.000000	0.000000
4.001899	proteinP	2.000000	1.000000	3.000000
4.999051	__proteinP_rbs	1.000000	0.000000	0.000000
4.999051	__ribosome	97.000000	0.000000	0.000000
4.999051	proteinP	2.000000	1.000000	3.000000
5.999170	__proteinP_rbs	1.000000	0.000000	0.000000
5.999170	__ribosome	98.000000	0.000000	0.000000
5.999170	proteinP	5.000000	1.000000	2.000000
6.999801	__proteinP_rbs	1.000000	0.000000	0.000000
6.999801	__ribosome	98.000000	0.000000	0.000000
6.999801	proteinP	5.000000	1.000000	2.000000
7.999053	__proteinP_rbs	1.000000	0.000000	0.000000
7.999053	__ribosome	97.000000	0.000000	0.000000
7.999053	proteinP	6.000000	1.000000	3.000000
9.003803	__proteinP_rbs	0.000000	0.000000	0.000000
9.003803	__ribosome	96.000000	0.000000	0.000000
9.003803	proteinP	7.000000	1.000000	4.000000
9.999454	__proteinP_rbs	0.000000	0.000000	0.000000
9.999454	__ribosome	95.000000	0.000000	0.000000
9.999454	proteinP	9.000000	1.000000	5.000000
11.000849	__proteinP_rbs	1.000000	0.000000	0.000000
11.000849	__ribosome	93.000000	0.000000	0.000000
11.000849	proteinP	10.000000	1.000000	7.000000
11.999272	__proteinP_rbs	1.000000	0.000000	0.000000
11.999272	__ribosome	93.000000	0.000000	0.000000
11.999272	proteinP	13.000000	1.000000	7.000000
13.001412	__proteinP_rbs	1.000000	0.000000	0.000000
13.001412	__ribosome	94.000000	0.000000	0.000000
13.001412	proteinP	16.000000	1.000000	6.000000
13.999689	__proteinP_rbs	1.000000	0.000000	0.000000
13.999689	__ribosome	94.000000	0.000000	0.000000
13.999689	proteinP	20.000000	1.000000	6.000000
15.001612	__proteinP_rbs	1.000000	0.000000	0.000000
15.001612	__ribosome	93.000000	0.000000	0.000000
15.001612	proteinP	22.000000	1.000000	7.000000
16.000516	__proteinP_rbs	1.000000	0.000000	0.000000
16.000516	__ribosome	97.000000	0.000000	0.000000
16.000516	proteinP	26.000000	1.000000	3.000000
16.999679	__proteinP_rbs	1.000000	0.000000	0.000000
16.999679	__ribosome	98.000000	0.000000	0.000000
16.999679	proteinP	28.000000	1.000000	2.000000
18.001122	__proteinP_rbs	1.000000	0.000000	0.000000
18.001122	__ribosome	98.000000	0.000000	0.000000
18.001122	proteinP	29.000000	1.000000	2.000000
19.003191	__proteinP_rbs	1.000000	0.000000	0.000000
19.003191	__ribosome	98.000000	0.000000	0.000000
19.003191	proteinP	30.000000	1.000000	2.000000
20.000313	__proteinP_rbs	1.000000	0.000000	0.000000
20.000313	__ribosome	98.000000	0.000000	0.000000
20.000313	proteinP	31.000000	1.000000	2.000000
20.999174	__proteinP_rbs	1.000000	0.000000	0.000000
20.999174	__ribosome	96.000000	0.000000	0.000000
20.999174	proteinP	32.000000	1.000000	4.000000
22.001297	__proteinP_rbs	1.000000	0.000000	0.000000
22.001297	__ribosome	97.000000	0.000000	0.000000
22.001297	proteinP	33.000000	1.000000	3.000000
23.000539	__proteinP_rbs	0.000000	0.000000	0.000000
23.000539	__ribosome	97.000000	0.000000	0.000000
23.000539	proteinP	36.000000	1.000000	3.000000
24.000295	__proteinP_rbs	0.000000	0.000000	0.000000
24.000295	__ribosome	95.000000	0.000000	0.000000
24.000295	proteinP	36.000000	1.000000	5.000000
25.000016	__proteinP_rbs	1.000000	0.000000	0.000000
25.000016	__ribosome	94.000000	0.000000	0.000000
25.000016	proteinP	38.000000	1.000000	6.000000
26.005024	__proteinP_rbs	1.000000	0.000000	0.000000
26.005024	__ribosome	96.000000	0.000000	0.000000
26.005024	proteinP	40.000000	1.000000	4.000000
26.999123	__proteinP_rbs	1.000000	0.000000	0.000000
