time	species	protein	transcript	ribo_density
0.000000	__proteinP_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
1.068310	__proteinP_rbs	0.000000	0.000000	0.000000
1.068310	__ribosome	99.000000	0.000000	0.000000
1.068310	proteinP	1.000000	1.000000	1.000000
2.432679	__proteinP_rbs	0.000000	0.000000	0.000000
2.432679	__ribosome	99.000000	0.000000	0.000000
2.432679	proteinP	4.000000	1.000000	1.000000
3.655020	__proteinP_rbs	0.000000	0.000000	0.000000
3.655020	__ribosome	99.000000	0.000000	0.000000
3.655020	proteinP	6.000000	1.000000	1.000000
4.111694	__proteinP_rbs	0.000000	0.000000	0.000000
4.111694	__ribosome	99.000000	0.000000	0.000000
4.111694	proteinP	8.000000	1.000000	1.000000
4.999267	__proteinP_rbs	1.000000	0.000000	0.000000
4.999267	__ribosome	99.000000	0.000000	0.000000
4.999267	proteinP	10.000000	1.000000	1.000000
6.405911	__proteinP_rbs	0.000000	0.000000	0.000000
6.405911	__ribosome	99.000000	0.000000	0.000000
6.405911	proteinP	13.000000	1.000000	1.000000
7.081166	__proteinP_rbs	0.000000	0.000000	0.000000
7.081166	__ribosome	99.000000	0.000000	0.000000
7.081166	proteinP	14.000000	1.000000	1.000000
8.351622	__proteinP_rbs	0.000000	0.000000	0.000000
8.351622	__ribosome	99.000000	0.000000	0.000000
8.351622	proteinP	17.000000	1.000000	1.000000
9.731030	__proteinP_rbs	0.000000	0.000000	0.000000
9.731030	__ribosome	99.000000	0.000000	0.000000
9.731030	proteinP	21.000000	1.000000	1.000000
10.734316	__proteinP_rbs	0.000000	0.000000	0.000000
10.734316	__ribosome	99.000000	0.000000	0.000000
10.734316	proteinP	23.000000	1.000000	1.000000
11.038080	__proteinP_rbs	0.000000	0.000000	0.000000
11.038080	__ribosome	99.000000	0.000000	0.000000
11.038080	proteinP	24.000000	1.000000	1.000000
11.999307	__proteinP_rbs	1.000000	0.000000	0.000000
11.999307	__ribosome	99.000000	0.000000	0.000000
11.999307	proteinP	25.000000	1.000000	1.000000
14.074381	__proteinP_rbs	0.000000	0.000000	0.000000
14.074381	__ribosome	99.000000	0.000000	0.000000
14.074381	proteinP	29.000000	1.000000	1.000000
14.075482	__proteinP_rbs	0.000000	0.000000	0.000000
14.075482	__ribosome	99.000000	0.000000	0.000000
14.075482	proteinP	29.000000	1.000000	1.000000
15.264070	__proteinP_rbs	0.000000	0.000000	0.000000
15.264070	__ribosome	99.000000	0.000000	0.000000
15.264070	proteinP	31.000000	1.000000	1.000000
15.999035	__proteinP_rbs	1.000000	0.000000	0.000000
15.999035	__ribosome	99.000000	0.000000	0.000000
15.999035	proteinP	33.000000	1.000000	1.000000
17.216874	__proteinP_rbs	0.000000	0.000000	0.000000
17.216874	__ribosome	99.000000	0.000000	0.000000
17.216874	proteinP	37.000000	1.000000	1.000000
17.999629	__proteinP_rbs	1.000000	0.000000	0.000000
17.999629	__ribosome	99.000000	0.000000	0.000000
17.999629	proteinP	40.000000	1.000000	1.000000
19.083128	__proteinP_rbs	0.000000	0.000000	0.000000
19.083128	__ribosome	99.000000	0.000000	0.000000
19.083128	proteinP	42.000000	1.000000	1.000000
19.999905	__proteinP_rbs	1.000000	0.000000	0.000000
19.999905	__ribosome	99.000000	0.000000	0.000000
19.999905	proteinP	44.000000	1.000000	1.000000
22.705124	__proteinP_rbs	0.000000	0.000000	0.000000
22.705124	__ribosome	99.000000	0.000000	0.000000
22.705124	proteinP	52.000000	1.000000	1.000000
22.705800	__proteinP_rbs	0.000000	0.000000	0.000000
22.705800	__ribosome	99.000000	0.000000	0.000000
22.705800	proteinP	52.000000	1.000000	1.000000
23.348117	__proteinP_rbs	0.000000	0.000000	0.000000
23.348117	__ribosome	99.000000	0.000000	0.000000
23.348117	proteinP	53.000000	1.000000	1.000000
25.085101	__proteinP_rbs	0.000000	0.000000	0.000000
25.085101	__ribosome	99.000000	0.000000	0.000000
25.085101	proteinP	55.000000	1.000000	1.000000
25.085551	__proteinP_rbs	0.000000	0.000000	0.000000
25.085551	__ribosome	99.000000	0.000000	0.000000
25.085551	proteinP	55.000000	1.000000	1.000000
26.135611	__proteinP_rbs	0.000000	0.000000	0.000000
26.135611	__ribosome	99.000000	0.000000	0.000000
26.135611	proteinP	58.000000	1.000000	1.000000
29.156022	__proteinP_rbs	0.000000	0.000000	0.000000
