time	species	protein	transcript	ribo_density
0.000000	__proteinP_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
1.135670	__proteinP_rbs	0.000000	0.000000	0.000000
1.135670	__ribosome	99.000000	0.000000	0.000000
1.135670	proteinP	1.000000	1.000000	1.000000
1.999187	__proteinP_rbs	1.000000	0.000000	0.000000
1.999187	__ribosome	98.000000	0.000000	0.000000
1.999187	proteinP	2.000000	1.000000	2.000000
3.129858	__proteinP_rbs	0.000000	0.000000	0.000000
3.129858	__ribosome	99.000000	0.000000	0.000000
3.129858	proteinP	5.000000	1.000000	1.000000
4.019720	__proteinP_rbs	0.000000	0.000000	0.000000
4.019720	__ribosome	99.000000	0.000000	0.000000
4.019720	proteinP	6.000000	1.000000	1.000000
5.443814	__proteinP_rbs	0.000000	0.000000	0.000000
5.443814	__ribosome	99.000000	0.000000	0.000000
5.443814	proteinP	9.000000	1.000000	1.000000
6.000195	__proteinP_rbs	1.000000	0.000000	0.000000
6.000195	__ribosome	99.000000	0.000000	0.000000
6.000195	proteinP	12.000000	1.000000	1.000000
6.999074	__proteinP_rbs	1.000000	0.000000	0.000000
6.999074	__ribosome	99.000000	0.000000	0.000000
6.999074	proteinP	15.000000	1.000000	1.000000
8.241122	__proteinP_rbs	0.000000	0.000000	0.000000
8.241122	__ribosome	99.000000	0.000000	0.000000
8.241122	proteinP	17.000000	1.000000	1.000000
9.541400	__proteinP_rbs	0.000000	0.000000	0.000000
9.541400	__ribosome	99.000000	0.000000	0.000000
9.541400	proteinP	21.000000	1.000000	1.000000
10.032765	__proteinP_rbs	0.000000	0.000000	0.000000
10.032765	__ribosome	99.000000	0.000000	0.000000
10.032765	proteinP	25.000000	1.000000	1.000000
11.008530	__proteinP_rbs	0.000000	0.000000	0.000000
11.008530	__ribosome	99.000000	0.000000	0.000000
11.008530	proteinP	27.000000	1.000000	1.000000
12.882988	__proteinP_rbs	0.000000	0.000000	0.000000
12.882988	__ribosome	99.000000	0.000000	0.000000
12.882988	proteinP	31.000000	1.000000	1.000000
12.999773	__proteinP_rbs	1.000000	0.000000	0.000000
12.999773	__ribosome	99.000000	0.000000	0.000000
12.999773	proteinP	31.000000	1.000000	1.000000
14.634095	__proteinP_rbs	0.000000	0.000000	0.000000
14.634095	__ribosome	99.000000	0.000000	0.000000
14.634095	proteinP	36.000000	1.000000	1.000000
15.238600	__proteinP_rbs	0.000000	0.000000	0.000000
15.238600	__ribosome	99.000000	0.000000	0.000000
15.238600	proteinP	38.000000	1.000000	1.000000
15.999296	__proteinP_rbs	1.000000	0.000000	0.000000
15.999296	__ribosome	99.000000	0.000000	0.000000
15.999296	proteinP	41.000000	1.000000	1.000000
18.836543	__proteinP_rbs	0.000000	0.000000	0.000000
18.836543	__ribosome	99.000000	0.000000	0.000000
18.836543	proteinP	44.000000	1.000000	1.000000
18.838197	__proteinP_rbs	0.000000	0.000000	0.000000
18.838197	__ribosome	99.000000	0.000000	0.000000
18.838197	proteinP	44.000000	1.000000	1.000000
18.999572	__proteinP_rbs	1.000000	0.000000	0.000000
18.999572	__ribosome	97.000000	0.000000	0.000000
18.999572	proteinP	44.000000	1.000000	3.000000
20.614810	__proteinP_rbs	0.000000	0.000000	0.000000
20.614810	__ribosome	99.000000	0.000000	0.000000
20.614810	proteinP	49.000000	1.000000	1.000000
21.518814	__proteinP_rbs	0.000000	0.000000	0.000000
21.518814	__ribosome	99.000000	0.000000	0.000000
21.518814	proteinP	53.000000	1.000000	1.000000
23.021800	__proteinP_rbs	0.000000	0.000000	0.000000
23.021800	__ribosome	99.000000	0.000000	0.000000
23.021800	proteinP	55.000000	1.000000	1.000000
23.023122	__proteinP_rbs	0.000000	0.000000	0.000000
23.023122	__ribosome	99.000000	0.000000	0.000000
23.023122	proteinP	55.000000	1.000000	1.000000
23.999696	__proteinP_rbs	1.000000	0.000000	0.000000
23.999696	__ribosome	99.000000	0.000000	0.000000
23.999696	proteinP	57.000000	1.000000	1.000000
26.141851	__proteinP_rbs	0.000000	0.000000	0.000000
26.141851	__ribosome	99.000000	0.000000	0.000000
26.141851	proteinP	58.000000	1.000000	1.000000
26.142585	__proteinP_rbs	0.000000	0.000000	0.000000
26.142585	__ribosome	99.000000	0.000000	0.000000
26.142585	proteinP	58.000000	1.000000	1.000000
27.571749	__proteinP_rbs	0.000000	0.000000	0.000000
