time	species	protein	transcript	ribo_density
0.000000	__proteinP_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
1.007430	__proteinP_rbs	0.000000	0.000000	0.000000
1.007430	__ribosome	99.000000	0.000000	0.000000
2.002251	__proteinP_rbs	0.000000	0.000000	0.000000
2.002251	__ribosome	98.000000	0.000000	0.000000
2.002251	proteinP	0.000000	1.000000	2.000000
2.999721	__proteinP_rbs	0.000000	0.000000	0.000000
2.999721	__ribosome	97.000000	0.000000	0.000000
2.999721	proteinP	0.000000	1.000000	3.000000
4.008010	__proteinP_rbs	1.000000	0.000000	0.000000
4.008010	__ribosome	96.000000	0.000000	0.000000
4.008010	proteinP	0.000000	1.000000	4.000000
5.010854	__proteinP_rbs	1.000000	0.000000	0.000000
5.010854	__ribosome	96.000000	0.000000	0.000000
5.010854	proteinP	0.000000	1.000000	4.000000
6.008602	__proteinP_rbs	1.000000	0.000000	0.000000
6.008602	__ribosome	95.000000	0.000000	0.000000
6.008602	proteinP	0.000000	1.000000	5.000000
7.004660	__proteinP_rbs	1.000000	0.000000	0.000000
7.004660	__ribosome	94.000000	0.000000	0.000000
7.004660	proteinP	0.000000	1.000000	6.000000
8.005435	__proteinP_rbs	1.000000	0.000000	0.000000
8.005435	__ribosome	94.000000	0.000000	0.000000
8.005435	proteinP	0.000000	1.000000	6.000000
9.006727	__proteinP_rbs	0.000000	0.000000	0.000000
9.006727	__ribosome	92.000000	0.000000	0.000000
9.006727	proteinP	0.000000	1.000000	8.000000
10.004031	__proteinP_rbs	1.000000	0.000000	0.000000
10.004031	__ribosome	91.000000	0.000000	0.000000
10.004031	proteinP	0.000000	1.000000	9.000000
11.002531	__proteinP_rbs	1.000000	0.000000	0.000000
11.002531	__ribosome	90.000000	0.000000	0.000000
11.002531	proteinP	0.000000	1.000000	10.000000
11.999642	__proteinP_rbs	1.000000	0.000000	0.000000
11.999642	__ribosome	90.000000	0.000000	0.000000
11.999642	proteinP	1.000000	1.000000	10.000000
13.001699	__proteinP_rbs	1.000000	0.000000	0.000000
13.001699	__ribosome	90.000000	0.000000	0.000000
13.001699	proteinP	2.000000	1.000000	10.000000
14.000178	__proteinP_rbs	1.000000	0.000000	0.000000
14.000178	__ribosome	90.000000	0.000000	0.000000
14.000178	proteinP	3.000000	1.000000	10.000000
14.999236	__proteinP_rbs	1.000000	0.000000	0.000000
14.999236	__ribosome	89.000000	0.000000	0.000000
14.999236	proteinP	3.000000	1.000000	11.000000
16.005136	__proteinP_rbs	1.000000	0.000000	0.000000
16.005136	__ribosome	90.000000	0.000000	0.000000
16.005136	proteinP	5.000000	1.000000	10.000000
17.002472	__proteinP_rbs	0.000000	0.000000	0.000000
17.002472	__ribosome	88.000000	0.000000	0.000000
17.002472	proteinP	5.000000	1.000000	12.000000
18.008254	__proteinP_rbs	1.000000	0.000000	0.000000
18.008254	__ribosome	88.000000	0.000000	0.000000
18.008254	proteinP	6.000000	1.000000	12.000000
19.000767	__proteinP_rbs	1.000000	0.000000	0.000000
19.000767	__ribosome	87.000000	0.000000	0.000000
19.000767	proteinP	6.000000	1.000000	13.000000
20.004317	__proteinP_rbs	1.000000	0.000000	0.000000
20.004317	__ribosome	87.000000	0.000000	0.000000
20.004317	proteinP	7.000000	1.000000	13.000000
21.004128	__proteinP_rbs	0.000000	0.000000	0.000000
21.004128	__ribosome	88.000000	0.000000	0.000000
21.004128	proteinP	9.000000	1.000000	12.000000
21.999121	__proteinP_rbs	1.000000	0.000000	0.000000
21.999121	__ribosome	89.000000	0.000000	0.000000
21.999121	proteinP	10.000000	1.000000	11.000000
23.009272	__proteinP_rbs	1.000000	0.000000	0.000000
23.009272	__ribosome	89.000000	0.000000	0.000000
23.009272	proteinP	11.000000	1.000000	11.000000
24.000613	__proteinP_rbs	1.000000	0.000000	0.000000
24.000613	__ribosome	91.000000	0.000000	0.000000
24.000613	proteinP	13.000000	1.000000	9.000000
25.007635	__proteinP_rbs	1.000000	0.000000	0.000000
25.007635	__ribosome	90.000000	0.000000	0.000000
25.007635	proteinP	13.000000	1.000000	10.000000
26.000552	__proteinP_rbs	1.000000	0.000000	0.000000
26.000552	__ribosome	90.000000	0.000000	0.000000
26.000552	proteinP	14.000000	1.000000	10.000000
27.004953	__proteinP_rbs	0.000000	0.000000	0.000000
27.004953	__ribosome	89.000000	0.000000	0.000000
