time	species	protein	transcript	ribo_density
0.000000	__proteinP_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	5.000000	0.000000	0.000000
15.713897	__proteinP_rbs	0.000000	0.000000	0.000000
15.713897	__ribosome	4.000000	0.000000	0.000000
15.714659	__proteinP_rbs	0.000000	0.000000	0.000000
15.714659	__ribosome	4.000000	0.000000	0.000000
15.714958	__proteinP_rbs	0.000000	0.000000	0.000000
15.714958	__ribosome	4.000000	0.000000	0.000000
15.715055	__proteinP_rbs	0.000000	0.000000	0.000000
15.715055	__ribosome	4.000000	0.000000	0.000000
15.715371	__proteinP_rbs	0.000000	0.000000	0.000000
15.715371	__ribosome	4.000000	0.000000	0.000000
15.715449	__proteinP_rbs	0.000000	0.000000	0.000000
15.715449	__ribosome	4.000000	0.000000	0.000000
15.715748	__proteinP_rbs	0.000000	0.000000	0.000000
15.715748	__ribosome	4.000000	0.000000	0.000000
15.716114	__proteinP_rbs	0.000000	0.000000	0.000000
15.716114	__ribosome	4.000000	0.000000	0.000000
15.716115	__proteinP_rbs	0.000000	0.000000	0.000000
15.716115	__ribosome	4.000000	0.000000	0.000000
15.716318	__proteinP_rbs	0.000000	0.000000	0.000000
15.716318	__ribosome	4.000000	0.000000	0.000000
15.716362	__proteinP_rbs	0.000000	0.000000	0.000000
15.716362	__ribosome	4.000000	0.000000	0.000000
15.716853	__proteinP_rbs	0.000000	0.000000	0.000000
15.716853	__ribosome	4.000000	0.000000	0.000000
15.716981	__proteinP_rbs	0.000000	0.000000	0.000000
15.716981	__ribosome	4.000000	0.000000	0.000000
15.724363	__proteinP_rbs	0.000000	0.000000	0.000000
15.724363	__ribosome	4.000000	0.000000	0.000000
15.740962	__proteinP_rbs	0.000000	0.000000	0.000000
15.740962	__ribosome	4.000000	0.000000	0.000000
16.005641	__proteinP_rbs	1.000000	0.000000	0.000000
16.005641	__ribosome	4.000000	0.000000	0.000000
16.005641	proteinP	0.000000	1.000000	1.000000
17.026292	__proteinP_rbs	1.000000	0.000000	0.000000
17.026292	__ribosome	4.000000	0.000000	0.000000
17.026292	proteinP	0.000000	1.000000	1.000000
20.733286	__proteinP_rbs	0.000000	0.000000	0.000000
20.733286	__ribosome	4.000000	0.000000	0.000000
20.733286	proteinP	1.000000	1.000000	1.000000
20.733934	__proteinP_rbs	0.000000	0.000000	0.000000
20.733934	__ribosome	4.000000	0.000000	0.000000
20.733934	proteinP	1.000000	1.000000	1.000000
20.734656	__proteinP_rbs	0.000000	0.000000	0.000000
20.734656	__ribosome	4.000000	0.000000	0.000000
20.734656	proteinP	1.000000	1.000000	1.000000
21.011002	__proteinP_rbs	1.000000	0.000000	0.000000
21.011002	__ribosome	4.000000	0.000000	0.000000
21.011002	proteinP	1.000000	1.000000	1.000000
22.021725	__proteinP_rbs	1.000000	0.000000	0.000000
22.021725	__ribosome	4.000000	0.000000	0.000000
22.021725	proteinP	1.000000	1.000000	1.000000
33.026469	__proteinP_rbs	0.000000	0.000000	0.000000
33.026469	__ribosome	4.000000	0.000000	0.000000
33.026469	proteinP	2.000000	1.000000	1.000000
33.026483	__proteinP_rbs	0.000000	0.000000	0.000000
33.026483	__ribosome	4.000000	0.000000	0.000000
33.026483	proteinP	2.000000	1.000000	1.000000
33.027492	__proteinP_rbs	0.000000	0.000000	0.000000
33.027492	__ribosome	4.000000	0.000000	0.000000
33.027492	proteinP	2.000000	1.000000	1.000000
33.028202	__proteinP_rbs	0.000000	0.000000	0.000000
33.028202	__ribosome	4.000000	0.000000	0.000000
33.028202	proteinP	2.000000	1.000000	1.000000
33.028761	__proteinP_rbs	0.000000	0.000000	0.000000
33.028761	__ribosome	4.000000	0.000000	0.000000
33.028761	proteinP	2.000000	1.000000	1.000000
33.028791	__proteinP_rbs	0.000000	0.000000	0.000000
33.028791	__ribosome	4.000000	0.000000	0.000000
33.028791	proteinP	2.000000	1.000000	1.000000
33.031227	__proteinP_rbs	0.000000	0.000000	0.000000
33.031227	__ribosome	4.000000	0.000000	0.000000
33.031227	proteinP	2.000000	1.000000	1.000000
33.032098	__proteinP_rbs	0.000000	0.000000	0.000000
33.032098	__ribosome	4.000000	0.000000	0.000000
33.032098	proteinP	2.000000	1.000000	1.000000
33.033442	__proteinP_rbs	0.000000	0.000000	0.000000
33.033442	__ribosome	4.000000	0.000000	0.000000
33.033442	proteinP	2.000000	1.000000	1.000000
33.033656	__proteinP_rbs	0.000000	0.000000	0.000000
33.033656	__ribosome	4.000000	0.000000	0.000000
33.033656	proteinP	2.000000	1.000000	1.000000
33.033873	__proteinP_rbs	0.000000	0.000000	0.000000
33.033873	__ribosome	4.000000	0.000000	0.000000
33.033873	proteinP	2.000000	1.000000	1.000000
34.022846	__proteinP_rbs	1.000000	0.000000	0.000000
34.022846	__ribosome	4.000000	0.000000	0.000000
34.022846	proteinP	2.000000	1.000000	1.000000
35.004667	__proteinP_rbs	1.000000	0.000000	0.000000
35.004667	__ribosome	4.000000	0.000000	0.000000
35.004667	proteinP	3.000000	1.000000	1.000000
36.007896	__proteinP_rbs	1.000000	0.000000	0.000000
36.007896	__ribosome	4.000000	0.000000	0.000000
36.007896	proteinP	3.000000	1.000000	1.000000
47.196011	__proteinP_rbs	0.000000	0.000000	0.000000
47.196011	__ribosome	4.000000	0.000000	0.000000
47.196011	proteinP	4.000000	1.000000	1.000000
47.196710	__proteinP_rbs	0.000000	0.000000	0.000000
47.196710	__ribosome	4.000000	0.000000	0.000000
47.196710	proteinP	4.000000	1.000000	1.000000
47.197342	__proteinP_rbs	0.000000	0.000000	0.000000
47.197342	__ribosome	4.000000	0.000000	0.000000
47.197342	proteinP	4.000000	1.000000	1.000000
47.197746	__proteinP_rbs	0.000000	0.000000	0.000000
47.197746	__ribosome	4.000000	0.000000	0.000000
47.197746	proteinP	4.000000	1.000000	1.000000
