time	species	protein	transcript	ribo_density
0.000000	__proteinP_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
1.017290	__proteinP_rbs	0.000000	0.000000	0.000000
1.017290	__ribosome	99.000000	0.000000	0.000000
2.002255	__proteinP_rbs	0.000000	0.000000	0.000000
2.002255	__ribosome	98.000000	0.000000	0.000000
2.002255	proteinP	0.000000	1.000000	2.000000
2.999257	__proteinP_rbs	1.000000	0.000000	0.000000
2.999257	__ribosome	98.000000	0.000000	0.000000
2.999257	proteinP	0.000000	1.000000	2.000000
4.064091	__proteinP_rbs	0.000000	0.000000	0.000000
4.064091	__ribosome	97.000000	0.000000	0.000000
4.064091	proteinP	0.000000	1.000000	3.000000
5.031959	__proteinP_rbs	0.000000	0.000000	0.000000
5.031959	__ribosome	96.000000	0.000000	0.000000
5.031959	proteinP	0.000000	1.000000	4.000000
6.003333	__proteinP_rbs	1.000000	0.000000	0.000000
6.003333	__ribosome	96.000000	0.000000	0.000000
6.003333	proteinP	0.000000	1.000000	4.000000
7.002355	__proteinP_rbs	0.000000	0.000000	0.000000
7.002355	__ribosome	95.000000	0.000000	0.000000
7.002355	proteinP	0.000000	1.000000	5.000000
7.999106	__proteinP_rbs	1.000000	0.000000	0.000000
7.999106	__ribosome	94.000000	0.000000	0.000000
7.999106	proteinP	0.000000	1.000000	6.000000
9.008633	__proteinP_rbs	0.000000	0.000000	0.000000
9.008633	__ribosome	93.000000	0.000000	0.000000
9.008633	proteinP	0.000000	1.000000	7.000000
10.001596	__proteinP_rbs	0.000000	0.000000	0.000000
10.001596	__ribosome	92.000000	0.000000	0.000000
10.001596	proteinP	0.000000	1.000000	8.000000
11.007954	__proteinP_rbs	1.000000	0.000000	0.000000
11.007954	__ribosome	91.000000	0.000000	0.000000
11.007954	proteinP	0.000000	1.000000	9.000000
12.014797	__proteinP_rbs	0.000000	0.000000	0.000000
12.014797	__ribosome	90.000000	0.000000	0.000000
12.014797	proteinP	0.000000	1.000000	10.000000
13.005892	__proteinP_rbs	1.000000	0.000000	0.000000
13.005892	__ribosome	90.000000	0.000000	0.000000
13.005892	proteinP	0.000000	1.000000	10.000000
13.999479	__proteinP_rbs	1.000000	0.000000	0.000000
13.999479	__ribosome	90.000000	0.000000	0.000000
13.999479	proteinP	0.000000	1.000000	10.000000
15.002870	__proteinP_rbs	0.000000	0.000000	0.000000
15.002870	__ribosome	89.000000	0.000000	0.000000
15.002870	proteinP	0.000000	1.000000	11.000000
16.007266	__proteinP_rbs	1.000000	0.000000	0.000000
16.007266	__ribosome	89.000000	0.000000	0.000000
16.007266	proteinP	0.000000	1.000000	11.000000
16.999089	__proteinP_rbs	0.000000	0.000000	0.000000
16.999089	__ribosome	87.000000	0.000000	0.000000
16.999089	proteinP	0.000000	1.000000	13.000000
18.000722	__proteinP_rbs	0.000000	0.000000	0.000000
18.000722	__ribosome	87.000000	0.000000	0.000000
18.000722	proteinP	1.000000	1.000000	13.000000
19.000565	__proteinP_rbs	1.000000	0.000000	0.000000
19.000565	__ribosome	87.000000	0.000000	0.000000
19.000565	proteinP	1.000000	1.000000	13.000000
20.004330	__proteinP_rbs	0.000000	0.000000	0.000000
20.004330	__ribosome	86.000000	0.000000	0.000000
20.004330	proteinP	1.000000	1.000000	14.000000
21.006072	__proteinP_rbs	0.000000	0.000000	0.000000
21.006072	__ribosome	86.000000	0.000000	0.000000
21.006072	proteinP	2.000000	1.000000	14.000000
22.008537	__proteinP_rbs	0.000000	0.000000	0.000000
22.008537	__ribosome	86.000000	0.000000	0.000000
22.008537	proteinP	3.000000	1.000000	14.000000
23.009345	__proteinP_rbs	0.000000	0.000000	0.000000
23.009345	__ribosome	87.000000	0.000000	0.000000
23.009345	proteinP	5.000000	1.000000	13.000000
24.001192	__proteinP_rbs	0.000000	0.000000	0.000000
24.001192	__ribosome	86.000000	0.000000	0.000000
24.001192	proteinP	5.000000	1.000000	14.000000
25.003857	__proteinP_rbs	1.000000	0.000000	0.000000
25.003857	__ribosome	87.000000	0.000000	0.000000
25.003857	proteinP	6.000000	1.000000	13.000000
26.009445	__proteinP_rbs	1.000000	0.000000	0.000000
26.009445	__ribosome	88.000000	0.000000	0.000000
26.009445	proteinP	7.000000	1.000000	12.000000
27.006748	__proteinP_rbs	0.000000	0.000000	0.000000
27.006748	__ribosome	88.000000	0.000000	0.000000
