time	species	protein	transcript	ribo_density
0.000000	__proteinP_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	5.000000	0.000000	0.000000
15.713897	__proteinP_rbs	0.000000	0.000000	0.000000
15.713897	__ribosome	4.000000	0.000000	0.000000
15.714659	__proteinP_rbs	0.000000	0.000000	0.000000
15.714659	__ribosome	4.000000	0.000000	0.000000
15.714958	__proteinP_rbs	0.000000	0.000000	0.000000
15.714958	__ribosome	4.000000	0.000000	0.000000
15.715055	__proteinP_rbs	0.000000	0.000000	0.000000
15.715055	__ribosome	4.000000	0.000000	0.000000
15.715371	__proteinP_rbs	0.000000	0.000000	0.000000
15.715371	__ribosome	4.000000	0.000000	0.000000
15.715449	__proteinP_rbs	0.000000	0.000000	0.000000
15.715449	__ribosome	4.000000	0.000000	0.000000
15.715748	__proteinP_rbs	0.000000	0.000000	0.000000
15.715748	__ribosome	4.000000	0.000000	0.000000
15.716114	__proteinP_rbs	0.000000	0.000000	0.000000
15.716114	__ribosome	4.000000	0.000000	0.000000
15.716115	__proteinP_rbs	0.000000	0.000000	0.000000
15.716115	__ribosome	4.000000	0.000000	0.000000
15.716507	__proteinP_rbs	0.000000	0.000000	0.000000
15.716507	__ribosome	4.000000	0.000000	0.000000
15.716591	__proteinP_rbs	0.000000	0.000000	0.000000
15.716591	__ribosome	4.000000	0.000000	0.000000
15.716611	__proteinP_rbs	0.000000	0.000000	0.000000
15.716611	__ribosome	4.000000	0.000000	0.000000
15.716616	__proteinP_rbs	0.000000	0.000000	0.000000
15.716616	__ribosome	4.000000	0.000000	0.000000
15.716911	__proteinP_rbs	0.000000	0.000000	0.000000
15.716911	__ribosome	4.000000	0.000000	0.000000
15.718188	__proteinP_rbs	0.000000	0.000000	0.000000
15.718188	__ribosome	4.000000	0.000000	0.000000
19.229427	__proteinP_rbs	0.000000	0.000000	0.000000
19.229427	__ribosome	4.000000	0.000000	0.000000
19.229427	proteinP	1.000000	1.000000	1.000000
19.230076	__proteinP_rbs	0.000000	0.000000	0.000000
19.230076	__ribosome	4.000000	0.000000	0.000000
19.230076	proteinP	1.000000	1.000000	1.000000
19.230797	__proteinP_rbs	0.000000	0.000000	0.000000
19.230797	__ribosome	4.000000	0.000000	0.000000
19.230797	proteinP	1.000000	1.000000	1.000000
19.230966	__proteinP_rbs	0.000000	0.000000	0.000000
19.230966	__ribosome	4.000000	0.000000	0.000000
19.230966	proteinP	1.000000	1.000000	1.000000
30.085550	__proteinP_rbs	0.000000	0.000000	0.000000
30.085550	__ribosome	4.000000	0.000000	0.000000
30.085550	proteinP	2.000000	1.000000	1.000000
30.085564	__proteinP_rbs	0.000000	0.000000	0.000000
30.085564	__ribosome	4.000000	0.000000	0.000000
30.085564	proteinP	2.000000	1.000000	1.000000
30.086573	__proteinP_rbs	0.000000	0.000000	0.000000
30.086573	__ribosome	4.000000	0.000000	0.000000
30.086573	proteinP	2.000000	1.000000	1.000000
30.087283	__proteinP_rbs	0.000000	0.000000	0.000000
30.087283	__ribosome	4.000000	0.000000	0.000000
30.087283	proteinP	2.000000	1.000000	1.000000
30.087843	__proteinP_rbs	0.000000	0.000000	0.000000
30.087843	__ribosome	4.000000	0.000000	0.000000
30.087843	proteinP	2.000000	1.000000	1.000000
30.087872	__proteinP_rbs	0.000000	0.000000	0.000000
30.087872	__ribosome	4.000000	0.000000	0.000000
30.087872	proteinP	2.000000	1.000000	1.000000
30.090309	__proteinP_rbs	0.000000	0.000000	0.000000
30.090309	__ribosome	4.000000	0.000000	0.000000
30.090309	proteinP	2.000000	1.000000	1.000000
30.091179	__proteinP_rbs	0.000000	0.000000	0.000000
30.091179	__ribosome	4.000000	0.000000	0.000000
30.091179	proteinP	2.000000	1.000000	1.000000
30.093764	__proteinP_rbs	0.000000	0.000000	0.000000
30.093764	__ribosome	4.000000	0.000000	0.000000
30.093764	proteinP	2.000000	1.000000	1.000000
30.094175	__proteinP_rbs	0.000000	0.000000	0.000000
30.094175	__ribosome	4.000000	0.000000	0.000000
30.094175	proteinP	2.000000	1.000000	1.000000
30.094593	__proteinP_rbs	0.000000	0.000000	0.000000
30.094593	__ribosome	4.000000	0.000000	0.000000
30.094593	proteinP	2.000000	1.000000	1.000000
41.238726	__proteinP_rbs	0.000000	0.000000	0.000000
41.238726	__ribosome	4.000000	0.000000	0.000000
41.238726	proteinP	4.000000	1.000000	1.000000
41.239426	__proteinP_rbs	0.000000	0.000000	0.000000
41.239426	__ribosome	4.000000	0.000000	0.000000
41.239426	proteinP	4.000000	1.000000	1.000000
41.240057	__proteinP_rbs	0.000000	0.000000	0.000000
41.240057	__ribosome	4.000000	0.000000	0.000000
41.240057	proteinP	4.000000	1.000000	1.000000
41.240461	__proteinP_rbs	0.000000	0.000000	0.000000
41.240461	__ribosome	4.000000	0.000000	0.000000
41.240461	proteinP	4.000000	1.000000	1.000000
41.240956	__proteinP_rbs	0.000000	0.000000	0.000000
41.240956	__ribosome	4.000000	0.000000	0.000000
41.240956	proteinP	4.000000	1.000000	1.000000
41.241128	__proteinP_rbs	0.000000	0.000000	0.000000
41.241128	__ribosome	4.000000	0.000000	0.000000
41.241128	proteinP	4.000000	1.000000	1.000000
41.241511	__proteinP_rbs	0.000000	0.000000	0.000000
41.241511	__ribosome	4.000000	0.000000	0.000000
41.241511	proteinP	4.000000	1.000000	1.000000
41.241596	__proteinP_rbs	0.000000	0.000000	0.000000
41.241596	__ribosome	4.000000	0.000000	0.000000
41.241596	proteinP	4.000000	1.000000	1.000000
41.242027	__proteinP_rbs	0.000000	0.000000	0.000000
41.242027	__ribosome	4.000000	0.000000	0.000000
41.242027	proteinP	4.000000	1.000000	1.000000
41.242089	__proteinP_rbs	0.000000	0.000000	0.000000
41.242089	__ribosome	4.000000	0.000000	0.000000
41.242089	proteinP	4.000000	1.000000	1.000000
