Generation,RBS,ORF,Terminator 
0,4,26,26
1,4,26,26
2,4,27,26
3,4,27,26
4,4,27,26
5,4,28,26
6,4,28,26
7,4,28,26
8,4,28,26
9,4,28,26
10,4,28,26
11,4,29,26
12,4,29,26
13,4,29,27
14,4,29,26
15,4,29,26
16,4,29,26
17,4,29,26
18,4,29,26
19,4,29,25
20,4,29,25
21,4,29,25
22,4,29,25
23,4,29,24
24,4,29,24
25,4,29,24
26,5,29,24
27,5,28,24
28,5,28,24
29,5,28,25
30,5,28,25
31,5,28,25
32,5,28,25
33,5,28,25
34,5,29,25
35,5,29,25
36,5,29,25
37,5,29,26
38,5,29,26
39,5,30,26
40,5,30,26
41,5,30,26
42,5,30,26
43,5,31,26
44,5,31,26
45,6,31,26
46,5,31,26
47,5,31,26
48,5,31,26
49,5,31,25
50,5,31,25
51,5,30,25
52,5,30,25
53,5,29,25
54,5,28,25
55,5,28,24
56,5,28,24
57,5,28,23
58,5,28,23
59,5,28,23
60,5,27,23
61,5,28,23
62,5,28,23
63,5,28,23
64,5,28,23
65,5,28,23
66,5,29,23
67,5,28,23
68,5,28,23
69,5,28,23
70,5,28,24
71,5,28,24
72,5,28,24
73,4,28,24
74,4,28,25
75,4,28,25
76,4,28,25
77,4,27,25
78,4,27,25
79,4,27,25
80,4,27,25
81,4,27,25
82,4,27,25
83,4,27,25
84,5,27,25
85,5,27,25
86,5,27,24
87,5,27,24
88,5,26,24
89,5,26,24
90,5,26,24
91,5,26,24
92,5,26,24
93,5,26,25
94,5,26,25
95,5,27,25
96,6,27,25
97,6,27,25
98,6,27,25
99,6,27,25
100,6,28,25
101,6,28,25
102,6,28,25
103,6,27,25
104,6,27,25
105,6,27,25
106,6,27,25
107,6,27,25
108,6,27,25
109,6,26,25
110,6,26,25
111,6,26,24
112,6,27,24
113,6,27,24
114,5,27,24
115,5,27,24
116,6,27,24
117,6,28,24
118,6,28,23
119,6,28,22
120,6,28,23
121,6,28,22
122,6,28,22
123,6,27,22
124,7,27,22
125,7,27,22
126,7,27,22
127,7,27,22
128,7,27,22
129,7,27,22
130,7,26,22
131,7,25,22
132,7,25,22
133,7,25,22
134,7,25,21
135,7,26,21
136,7,26,21
137,7,26,22
138,7,27,22
139,7,27,22
140,7,28,22
141,7,28,21
142,7,27,21
143,7,27,22
144,7,28,22
145,7,28,23
146,7,28,23
147,7,29,23
148,7,30,23
149,7,30,23
150,7,30,23
151,7,30,23
152,7,30,23
153,7,30,22
154,7,30,22
155,7,30,22
156,8,30,22
157,8,30,22
158,8,30,22
159,8,30,22
160,7,30,22
161,7,30,22
162,7,30,23
163,7,30,22
164,7,30,22
165,7,30,22
166,7,30,22
167,7,29,22
168,7,29,22
169,7,29,22
170,7,29,23
171,7,28,23
172,7,28,22
173,7,28,22
174,7,28,22
175,7,28,22
176,7,27,22
177,7,27,22
178,7,26,22
179,7,26,21
180,7,26,20
181,7,27,20
182,7,27,20
183,7,27,20
184,7,27,20
185,7,27,20
186,7,27,20
187,7,27,19
188,7,27,19
189,7,27,19
190,7,27,19
191,7,27,19
192,7,28,19
193,7,29,19
194,7,28,19
195,7,28,19
196,7,28,19
197,7,28,19
198,7,28,19
199,7,28,19
200,6,28,19
201,6,28,19
202,6,28,19
203,6,27,19
204,6,28,19
205,6,28,19
206,6,27,19
207,6,27,19
208,6,27,19
209,6,27,19
210,6,27,19
211,6,27,19
212,6,27,18
213,6,27,19
214,6,27,19
215,6,28,19
216,6,28,18
217,6,28,18
218,6,29,18
219,6,28,18
220,6,27,18
221,6,26,18
222,6,26,18
223,6,26,17
224,6,26,17
225,6,26,18
226,6,25,18
227,6,24,18
228,6,24,18
229,6,24,18
230,6,24,18
231,6,24,18
232,6,24,19
233,6,24,19
234,6,23,19
235,6,23,19
236,6,23,19
237,7,23,19
238,6,23,19
239,6,23,19
240,6,23,20
241,6,23,21
242,6,23,20
243,6,23,20
244,6,24,20
245,6,24,20
246,6,24,20
247,6,23,20
248,6,23,21
249,6,24,21
250,6,24,21
251,6,24,21
252,6,25,21
253,6,25,21
254,6,25,22
255,6,24,22
256,6,24,23
257,6,24,23
258,6,24,22
259,7,24,22
260,7,24,22
261,7,24,23
262,7,24,24
263,7,24,24
264,7,24,24
265,7,24,25
266,7,24,24
267,8,24,24
268,8,25,24
269,8,25,25
270,8,25,25
271,8,25,26
272,8,24,26
273,8,24,26
274,8,24,26
275,8,24,25
276,8,24,25
277,8,23,25
278,8,24,25
279,8,24,26
280,8,24,26
281,8,23,26
282,8,23,27
283,8,23,26
284,8,24,26
285,8,24,26
286,8,24,26
287,8,25,26
288,8,24,26
289,8,24,26
290,8,24,26
291,8,24,26
292,8,23,26
293,8,23,26
294,8,22,26
295,8,22,25
296,8,22,25
297,8,23,25
298,8,23,24
299,8,23,23
300,8,23,23
301,8,23,23
302,8,23,24
303,8,23,24
304,8,23,23
305,8,23,24
306,8,23,24
307,9,23,24
308,9,23,24
309,9,23,23
310,9,23,23
311,9,23,23
312,9,23,23
313,9,24,23
314,9,24,23
315,9,24,23
316,9,24,23
317,9,24,24
318,9,25,24
319,9,26,24
320,9,26,24
321,9,25,24
322,9,25,24
323,9,25,24
324,9,26,24
325,9,27,24
326,9,27,24
327,9,27,24
328,9,27,24
329,9,28,24
330,9,28,24
331,9,29,24
332,9,29,24
333,9,29,24
334,9,29,24
335,9,29,23
336,9,28,23
337,9,28,22
338,9,28,22
339,9,28,22
340,9,28,22
341,9,29,22
342,9,28,22
343,9,27,22
344,9,27,23
345,9,26,23
346,9,26,22
347,9,27,22
348,9,27,22
349,9,28,22
350,9,28,22
351,9,29,22
352,9,29,21
353,9,29,21
354,9,30,21
355,9,30,22
356,8,30,22
357,8,30,21
358,8,30,22
359,8,30,22
