Min,Max,Rate
1,100,0.204
10,100,0.275
100,100,0.273
11,100,0.287
12,100,0.276
13,100,0.284
14,100,0.279
15,100,0.299
16,100,0.275
17,100,0.286
18,100,0.28
19,100,0.273
2,100,0.194
20,100,0.292
21,100,0.281
22,100,0.263
23,100,0.266
24,100,0.24
25,100,0.26
26,100,0.244
27,100,0.265
28,100,0.317
29,100,0.278
3,100,0.235
30,100,0.26
31,100,0.262
32,100,0.262
33,100,0.256
34,100,0.259
35,100,0.272
36,100,0.283
37,100,0.264
38,100,0.264
39,100,0.264
4,100,0.223
40,100,0.265
41,100,0.267
42,100,0.265
43,100,0.265
44,100,0.265
45,100,0.265
46,100,0.267
47,100,0.267
48,100,0.267
49,100,0.267
5,100,0.242
50,100,0.267
51,100,0.267
52,100,0.27
53,100,0.27
54,100,0.27
55,100,0.27
56,100,0.27
57,100,0.27
58,100,0.27
59,100,0.27
6,100,0.25
60,100,0.27
61,100,0.27
62,100,0.272
63,100,0.272
64,100,0.272
65,100,0.272
66,100,0.272
67,100,0.272
68,100,0.272
69,100,0.273
7,100,0.245
70,100,0.273
71,100,0.273
72,100,0.273
73,100,0.273
74,100,0.273
75,100,0.273
76,100,0.273
77,100,0.273
78,100,0.273
79,100,0.273
8,100,0.251
80,100,0.273
81,100,0.273
82,100,0.273
83,100,0.273
84,100,0.273
85,100,0.273
86,100,0.273
87,100,0.273
88,100,0.273
89,100,0.273
9,100,0.247
90,100,0.273
91,100,0.273
92,100,0.273
93,100,0.273
94,100,0.273
95,100,0.273
96,100,0.273
97,100,0.273
98,100,0.273
99,100,0.273
