Min ,Max,Rate
100,100,2.048
10,100,1.966
1,100,1.753
11,100,1.872
12,100,2.037
13,100,1.87
14,100,2.148
15,100,2.152
16,100,2.048
17,100,2.123
18,100,1.929
19,100,2.303
20,100,2.014
2,100,1.702
21,100,2.382
22,100,2.394
23,100,2.101
24,100,2.223
25,100,2.137
26,100,2.205
27,100,2.192
28,100,1.974
29,100,2.221
30,100,2.26
3,100,1.696
31,100,1.983
32,100,2.123
33,100,1.999
34,100,2.137
35,100,2.139
36,100,2.009
37,100,2.17
38,100,2.098
39,100,2.139
40,100,2.126
4,100,1.98
41,100,2.132
42,100,2.182
43,100,2.098
44,100,1.9
45,100,2.18
46,100,2.261
47,100,2.179
48,100,2.093
49,100,1.954
50,100,2.046
5,100,1.492
51,100,2.007
52,100,2.072
53,100,2.343
54,100,2.105
55,100,2.051
56,100,1.943
57,100,2.025
58,100,2.02
59,100,2.052
60,100,2.051
6,100,1.979
61,100,2.122
62,100,2.04
63,100,2.108
64,100,2.233
65,100,2.032
66,100,2.246
67,100,1.966
68,100,2.178
69,100,2.048
70,100,2.163
7,100,1.951
71,100,2.217
72,100,1.981
73,100,1.99
74,100,2.12
75,100,2
76,100,1.865
77,100,2.005
78,100,1.992
79,100,1.997
80,100,2.012
8,100,2.074
81,100,2.002
82,100,2.011
83,100,2.109
84,100,2.012
85,100,2.037
86,100,2.018
87,100,2.161
88,100,2.022
89,100,2.023
90,100,2.034
9,100,2.318
91,100,2.022
92,100,2.142
93,100,2.152
94,100,2.037
95,100,2.039
96,100,2.032
97,100,2.057
98,100,2.046
99,100,2.047
