Generation,RBS,ORF,Terminator 
0,4,33,19
1,4,33,19
2,4,34,19
3,4,34,19
4,4,34,19
5,4,34,19
6,4,34,20
7,4,34,20
8,4,34,20
9,4,33,20
10,4,33,20
11,4,33,20
12,4,33,20
13,4,33,20
14,4,33,20
15,4,33,20
16,4,33,20
17,4,32,20
18,4,32,20
19,4,32,21
20,4,32,20
21,4,33,20
22,5,33,20
23,5,33,21
24,5,33,21
25,4,33,21
26,4,33,21
27,4,33,21
28,4,33,22
29,4,33,22
30,4,33,22
31,4,33,22
32,4,33,22
33,3,33,22
34,3,32,22
35,3,32,22
36,3,32,22
37,3,32,22
38,3,32,22
39,3,32,22
40,3,31,22
41,3,32,22
42,3,32,22
43,3,32,22
44,3,32,21
45,3,33,21
46,3,33,21
47,4,33,21
48,4,33,22
49,4,33,22
50,4,33,22
