Generation,RBS,ORF,Terminator 
0,7,23,18
1,7,23,19
2,7,24,19
3,7,24,19
4,7,24,19
5,7,24,19
6,7,25,19
7,7,25,19
8,7,25,19
9,7,26,19
10,7,26,19
11,7,26,19
12,7,26,19
13,7,26,18
14,7,26,18
15,7,26,19
16,7,26,19
17,6,26,19
18,6,26,19
19,6,26,18
20,6,26,18
21,6,26,19
22,6,26,20
23,6,26,20
24,6,26,20
25,6,26,21
26,6,26,21
27,6,26,21
28,6,26,21
29,6,26,21
30,6,26,20
31,6,26,20
32,6,26,20
33,6,26,21
34,6,26,21
35,6,26,20
36,6,26,20
37,6,26,20
38,6,26,20
39,6,26,21
40,6,26,21
41,6,26,21
42,6,26,21
43,6,26,21
44,6,26,21
45,6,27,21
46,6,27,21
47,6,26,21
48,6,26,22
49,6,25,22
50,5,25,22
51,5,25,22
52,5,24,22
53,5,24,22
54,5,24,22
55,5,24,22
56,5,24,22
57,5,24,23
58,5,24,23
59,5,24,23
60,4,24,23
61,4,24,23
62,4,24,23
63,4,24,24
64,4,24,24
65,4,24,24
66,4,24,24
67,4,25,24
68,4,25,24
69,4,25,24
70,4,25,24
71,5,25,24
72,5,26,24
73,5,25,24
74,5,25,24
75,5,25,25
76,5,26,25
77,5,26,25
78,5,26,25
79,5,26,25
80,5,26,25
81,5,26,25
82,5,26,25
83,5,26,25
84,5,26,26
85,5,26,27
86,5,25,27
87,4,25,27
88,4,26,27
89,4,26,27
90,4,26,27
91,4,26,26
92,4,26,26
93,4,26,25
94,4,26,26
95,4,26,26
96,4,26,26
97,5,26,26
98,5,26,26
99,5,25,26
100,5,25,26
101,5,25,26
102,5,24,26
103,5,24,26
104,5,24,26
105,5,24,26
106,5,24,26
107,5,24,26
108,5,24,26
109,5,24,26
110,5,24,26
111,5,24,26
112,5,24,27
113,5,24,28
114,5,24,28
115,5,25,28
116,5,25,29
117,5,25,29
118,5,25,29
119,5,25,29
120,5,25,29
121,5,25,29
122,5,25,29
123,5,26,29
124,5,26,29
125,5,26,29
126,5,26,29
127,5,26,29
128,5,26,29
129,5,27,29
130,5,27,29
131,5,27,29
132,5,28,29
