Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Prod_rt,Min 
0,popB,68,52,45,10.0,1.004,1.0
1,popB,68,52,116,1.0,1.004,1.0
2,popB,69,51,97,1.0,1.000,1.0
3,popB,69,51,93,10.0,1.000,1.0
4,popB,69,51,100,1.0,1.000,1.0
5,popB,70,50,89,1.0,1.040,1.0
6,popB,70,50,113,1.0,1.040,1.0
7,popB,70,50,34,10.0,1.040,1.0
8,popB,70,50,106,1.0,1.040,1.0
9,popB,69,51,10,10.0,0.999,1.0
10,popB,69,51,110,1.0,0.999,1.0
11,popB,69,51,32,10.0,0.999,1.0
12,popB,68,52,70,10.0,1.026,1.0
13,popB,68,52,89,1.0,1.026,1.0
14,popB,68,52,71,1.0,1.026,1.0
15,popB,68,52,9,10.0,1.026,1.0
16,popB,68,52,44,10.0,1.026,1.0
17,popA,68,52,0,0,1.026,1.0
18,popB,68,52,68,1.0,1.026,1.0
19,popB,68,52,107,10.0,1.026,1.0
20,popB,68,52,13,10.0,1.026,1.0
21,popB,67,53,47,10.0,1.199,1.0
22,popB,68,52,49,1.0,1.185,1.0
23,popB,69,51,26,1.0,0.957,1.0
24,popB,70,50,24,1.0,1.152,1.0
25,popB,70,50,71,1.0,1.152,1.0
26,popB,70,50,104,1.0,1.152,1.0
27,popB,70,50,86,10.0,1.152,1.0
28,popB,70,50,48,1.0,1.152,1.0
29,popB,70,50,51,10.0,1.152,1.0
30,popB,70,50,22,10.0,1.152,1.0
31,popB,70,50,119,10.0,1.152,1.0
32,popB,70,50,93,10.0,1.152,1.0
33,popB,70,50,2,1.0,1.152,1.0
34,popB,70,50,108,10.0,1.152,1.0
35,popB,70,50,23,10.0,1.152,1.0
36,popB,70,50,52,10.0,1.152,1.0
37,popB,70,50,90,1.0,1.152,1.0
38,popB,70,50,1,1.0,1.152,1.0
39,popA,70,50,0,0,1.152,1.0
40,popB,69,51,96,10.0,1.105,1.0
41,popB,69,51,79,1.0,1.105,1.0
42,popB,69,51,73,1.0,1.105,1.0
43,popB,69,51,55,1.0,1.105,1.0
44,popB,68,52,43,10.0,1.050,1.0
45,popB,67,53,99,10.0,1.003,1.0
46,popB,67,53,110,1.0,1.003,1.0
47,popB,67,53,46,1.0,1.003,1.0
48,popB,68,52,86,1.0,1.123,1.0
49,popB,68,52,116,1.0,1.123,1.0
50,popB,68,52,53,10.0,1.123,1.0
