Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Mutation,Rate,Min
0,popB,59,61,108,100,0.609,1
1,popB,58,62,6,100,0.609,1
2,popB,59,61,21,1,0.701,1
3,popB,59,61,88,100,0.701,1
4,popB,59,61,107,100,0.701,1
5,popB,60,60,1,1,0.701,1
6,popB,61,59,52,1,0.804,1
7,popB,61,59,77,1,0.804,1
8,popB,61,59,4,100,0.804,1
9,popB,61,59,24,1,0.804,1
10,popB,62,58,82,1,0.834,1
11,popB,62,58,102,1,0.834,1
12,popA,62,58,0,0,0.834,1
13,popB,61,59,19,100,0.823,1
14,popB,60,60,45,100,0.851,1
15,popB,60,60,17,100,0.851,1
16,popB,60,60,17,100,0.851,1
17,popB,61,59,4,1,0.851,1
18,popB,61,59,78,1,0.851,1
19,popB,61,59,105,1,0.851,1
20,popB,60,60,14,100,0.779,1
21,popB,61,59,7,1,0.724,1
22,popB,62,58,50,1,0.763,1
23,popB,62,58,98,1,0.763,1
24,popA,62,58,0,0,0.763,1
25,popA,62,58,0,0,0.763,1
26,popA,62,58,0,0,0.763,1
27,popB,62,58,111,1,0.763,1
28,popB,63,57,96,1,0.815,1
29,popA,63,57,0,0,0.815,1
30,popB,63,57,51,100,0.815,1
31,popB,63,57,47,100,0.815,1
32,popB,62,58,58,100,0.79,1
33,popB,61,59,28,100,0.849,1
34,popA,61,59,0,0,0.849,1
35,popB,61,59,29,100,0.849,1
36,popB,60,60,0,100,0.849,1
37,popB,60,60,2,100,0.849,1
38,popA,60,60,0,0,0.849,1
39,popA,60,60,0,0,0.849,1
40,popB,60,60,86,100,0.849,1
41,popB,60,60,55,100,0.849,1
42,popA,60,60,0,0,0.849,1
43,popA,60,60,0,0,0.849,1
44,popA,60,60,0,0,0.849,1
45,popB,60,60,51,100,0.849,1
46,popB,59,61,4,100,0.849,1
47,popB,59,61,88,100,0.849,1
48,popB,58,62,42,100,0.771,1
49,popB,58,62,71,100,0.771,1
50,popB,58,62,40,1,0.771,1
51,popB,58,62,106,100,0.771,1
52,popB,57,63,91,100,0.781,1
53,popB,56,64,54,100,0.909,1
