Time,Ribosomes,Proteins,ProductionRate
24.000613,91.0,14.0,1.1669031590402328
33.004004,90.0,22.0,1.000685970232595
40.001854,90.0,29.0,0.8331337977887635
49.002801,87.0,36.0,1.0000765058526977
56.999161,86.0,46.0,0.8330184523583418
58.002021,87.0,47.0,1.0004003268641333
60.003381,88.0,48.0,1.0003516235956935
71.999534,90.0,63.0,0.6662989806791623
72.999313,90.0,63.0,0.833081465037071
74.005261,91.0,64.0,0.667159697683255
75.006008,90.0,66.0,0.5004804612427927
78.002845,90.0,67.0,0.8336351092428775
81.000248,90.0,69.0,1.166728503277339
84.000673,90.0,72.0,0.9994404799046686
88.00326,91.0,76.0,0.6663952216797028
90.004032,90.0,78.0,0.6672086625035071
92.00554,91.0,79.0,0.6673528165875882
102.001491,92.0,88.0,0.6661700369041541
105.00779,92.0,90.0,0.6660329363277513
110.011312,91.0,93.0,0.8311418892187611
113.999871,90.0,97.0,0.666608893895863
123.002923,88.0,103.0,1.1673733166476767
131.004808,90.0,112.0,0.8327265532515322
131.999414,90.0,113.0,0.6663192922089947
135.999469,90.0,117.0,0.8328366850568105
137.00918,90.0,117.0,0.834333003326817
140.999213,90.0,120.0,1.1659354308289667
142.003047,90.0,122.0,1.0004854021676202
145.002562,91.0,124.0,0.6665998955771276
146.00854,90.0,125.0,0.8345686340064356
148.000136,90.0,128.0,0.4994882742630177
157.999423,89.0,135.0,0.9994609573903164
159.000097,88.0,136.0,1.1667123629008809
160.001085,88.0,137.0,0.9995358821720424
164.002659,89.0,141.0,1.1669665770769755
170.999191,90.0,148.0,0.8324099132695474
172.000309,91.0,149.0,0.9998283627977174
173.999146,90.0,151.0,0.8331132525824421
189.000705,87.0,163.0,1.166935839867063
