time	species	protein	transcript	ribo_density
0.000000	__proteinP_rbs	1.000000	0.000000	0.000000
0.000000	__ribosome	100.000000	0.000000	0.000000
1.004223	__proteinP_rbs	0.000000	0.000000	0.000000
1.004223	__ribosome	99.000000	0.000000	0.000000
2.008535	__proteinP_rbs	0.000000	0.000000	0.000000
2.008535	__ribosome	98.000000	0.000000	0.000000
2.008535	proteinP	0.000000	1.000000	2.000000
3.030751	__proteinP_rbs	0.000000	0.000000	0.000000
3.030751	__ribosome	98.000000	0.000000	0.000000
3.030751	proteinP	0.000000	1.000000	2.000000
4.015239	__proteinP_rbs	0.000000	0.000000	0.000000
4.015239	__ribosome	97.000000	0.000000	0.000000
4.015239	proteinP	0.000000	1.000000	3.000000
5.030507	__proteinP_rbs	0.000000	0.000000	0.000000
5.030507	__ribosome	96.000000	0.000000	0.000000
5.030507	proteinP	0.000000	1.000000	4.000000
6.032760	__proteinP_rbs	1.000000	0.000000	0.000000
6.032760	__ribosome	96.000000	0.000000	0.000000
6.032760	proteinP	0.000000	1.000000	4.000000
7.001923	__proteinP_rbs	0.000000	0.000000	0.000000
7.001923	__ribosome	95.000000	0.000000	0.000000
7.001923	proteinP	0.000000	1.000000	5.000000
8.005118	__proteinP_rbs	0.000000	0.000000	0.000000
8.005118	__ribosome	94.000000	0.000000	0.000000
8.005118	proteinP	0.000000	1.000000	6.000000
9.005670	__proteinP_rbs	0.000000	0.000000	0.000000
9.005670	__ribosome	93.000000	0.000000	0.000000
9.005670	proteinP	0.000000	1.000000	7.000000
9.999525	__proteinP_rbs	0.000000	0.000000	0.000000
9.999525	__ribosome	92.000000	0.000000	0.000000
9.999525	proteinP	0.000000	1.000000	8.000000
10.999423	__proteinP_rbs	1.000000	0.000000	0.000000
10.999423	__ribosome	91.000000	0.000000	0.000000
10.999423	proteinP	0.000000	1.000000	9.000000
12.013488	__proteinP_rbs	0.000000	0.000000	0.000000
12.013488	__ribosome	90.000000	0.000000	0.000000
12.013488	proteinP	0.000000	1.000000	10.000000
13.010349	__proteinP_rbs	1.000000	0.000000	0.000000
13.010349	__ribosome	90.000000	0.000000	0.000000
13.010349	proteinP	0.000000	1.000000	10.000000
14.005197	__proteinP_rbs	1.000000	0.000000	0.000000
14.005197	__ribosome	90.000000	0.000000	0.000000
14.005197	proteinP	0.000000	1.000000	10.000000
15.004048	__proteinP_rbs	0.000000	0.000000	0.000000
15.004048	__ribosome	89.000000	0.000000	0.000000
15.004048	proteinP	0.000000	1.000000	11.000000
16.001553	__proteinP_rbs	1.000000	0.000000	0.000000
16.001553	__ribosome	88.000000	0.000000	0.000000
16.001553	proteinP	0.000000	1.000000	12.000000
17.000698	__proteinP_rbs	0.000000	0.000000	0.000000
17.000698	__ribosome	88.000000	0.000000	0.000000
17.000698	proteinP	1.000000	1.000000	12.000000
18.003622	__proteinP_rbs	0.000000	0.000000	0.000000
18.003622	__ribosome	87.000000	0.000000	0.000000
18.003622	proteinP	1.000000	1.000000	13.000000
19.006731	__proteinP_rbs	0.000000	0.000000	0.000000
19.006731	__ribosome	86.000000	0.000000	0.000000
19.006731	proteinP	1.000000	1.000000	14.000000
20.005482	__proteinP_rbs	1.000000	0.000000	0.000000
20.005482	__ribosome	87.000000	0.000000	0.000000
20.005482	proteinP	2.000000	1.000000	13.000000
21.001140	__proteinP_rbs	1.000000	0.000000	0.000000
21.001140	__ribosome	86.000000	0.000000	0.000000
21.001140	proteinP	2.000000	1.000000	14.000000
22.000079	__proteinP_rbs	1.000000	0.000000	0.000000
22.000079	__ribosome	86.000000	0.000000	0.000000
22.000079	proteinP	3.000000	1.000000	14.000000
23.001890	__proteinP_rbs	0.000000	0.000000	0.000000
23.001890	__ribosome	86.000000	0.000000	0.000000
23.001890	proteinP	4.000000	1.000000	14.000000
24.014807	__proteinP_rbs	0.000000	0.000000	0.000000
24.014807	__ribosome	86.000000	0.000000	0.000000
24.014807	proteinP	5.000000	1.000000	14.000000
25.006635	__proteinP_rbs	1.000000	0.000000	0.000000
25.006635	__ribosome	86.000000	0.000000	0.000000
25.006635	proteinP	5.000000	1.000000	14.000000
25.999957	__proteinP_rbs	0.000000	0.000000	0.000000
25.999957	__ribosome	86.000000	0.000000	0.000000
25.999957	proteinP	6.000000	1.000000	14.000000
27.002274	__proteinP_rbs	1.000000	0.000000	0.000000
27.002274	__ribosome	87.000000	0.000000	0.000000
