Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Mutation,Prod_rt,Min 
0,popB,45,75,26,1.0,0.064,1.0
1,popB,45,75,11,1.0,0.064,1.0
2,popB,45,75,46,0.5,0.064,1.0
3,popB,45,75,54,1.0,0.064,1.0
4,popB,44,76,8,0.5,0.079,1.0
5,popB,44,76,49,0.5,0.079,1.0
6,popB,44,76,109,1.0,0.079,1.0
7,popB,44,76,79,0.5,0.079,1.0
8,popB,43,77,6,0.5,0.079,1.0
9,popB,44,76,3,1.0,0.079,1.0
10,popB,45,75,49,1.0,0.078,1.0
11,popB,45,75,105,0.5,0.079,1.0
12,popB,46,74,80,1.0,0.080,1.0
13,popB,46,74,7,0.5,0.080,1.0
14,popB,47,73,76,1.0,0.080,1.0
15,popB,48,72,36,1.0,0.080,1.0
16,popB,48,72,4,0.5,0.080,1.0
17,popB,48,72,86,1.0,0.080,1.0
18,popB,48,72,28,0.5,0.080,1.0
19,popB,48,72,44,1.0,0.080,1.0
20,popB,48,72,104,0.5,0.080,1.0
21,popB,49,71,79,1.0,0.081,1.0
22,popB,50,70,19,1.0,0.081,1.0
23,popB,49,71,109,0.5,0.066,1.0
24,popB,50,70,60,1.0,0.047,1.0
25,popB,51,69,96,1.0,0.067,1.0
26,popB,51,69,81,0.5,0.067,1.0
27,popB,51,69,97,1.0,0.067,1.0
28,popB,51,69,4,0.5,0.067,1.0
29,popB,50,70,106,0.5,0.066,1.0
30,popB,49,71,31,0.5,0.066,1.0
31,popB,50,70,50,1.0,0.082,1.0
32,popB,50,70,39,0.5,0.067,1.0
33,popB,49,71,75,0.5,0.066,1.0
34,popB,48,72,36,0.5,0.066,1.0
35,popB,49,71,117,1.0,0.067,1.0
36,popB,50,70,55,1.0,0.066,1.0
37,popB,51,69,85,1.0,0.066,1.0
38,popB,51,69,3,1.0,0.066,1.0
39,popB,52,68,41,1.0,0.083,1.0
40,popB,52,68,99,1.0,0.082,1.0
41,popB,53,67,14,1.0,0.082,1.0
42,popB,53,67,85,1.0,0.083,1.0
43,popB,53,67,10,1.0,0.083,1.0
44,popB,52,68,44,0.5,0.082,1.0
45,popB,53,67,44,1.0,0.083,1.0
46,popB,52,68,66,0.5,0.082,1.0
47,popB,51,69,10,0.5,0.066,1.0
48,popB,52,68,36,1.0,0.066,1.0
49,popB,51,69,76,0.5,0.067,1.0
50,popB,50,70,59,0.5,0.057,1.0
51,popB,50,70,24,1.0,0.057,1.0
52,popB,51,69,66,1.0,0.065,1.0
53,popB,52,68,4,1.0,0.082,1.0
54,popB,53,67,46,1.0,0.082,1.0
55,popB,54,66,68,1.0,0.083,1.0
56,popB,55,65,2,1.0,0.084,1.0
57,popB,55,65,84,0.5,0.084,1.0
58,popB,55,65,8,0.5,0.084,1.0
59,popB,56,64,104,1.0,0.067,1.0
60,popB,56,64,46,1.0,0.068,1.0
61,popB,56,64,50,1.0,0.068,1.0
62,popB,56,64,92,0.5,0.068,1.0
63,popB,56,64,24,1.0,0.068,1.0
64,popB,57,63,51,1.0,0.084,1.0
65,popB,57,63,43,0.5,0.068,1.0
66,popB,57,63,106,0.5,0.068,1.0
67,popB,57,63,39,0.5,0.068,1.0
68,popB,56,64,41,0.5,0.068,1.0
69,popB,57,63,81,1.0,0.084,1.0
70,popB,58,62,112,1.0,0.068,1.0
71,popB,59,61,39,1.0,0.069,1.0
72,popB,59,61,61,1.0,0.069,1.0
73,popB,59,61,58,1.0,0.069,1.0
74,popB,58,62,5,0.5,0.069,1.0
75,popB,58,62,11,1.0,0.069,1.0
76,popB,58,62,9,1.0,0.069,1.0
77,popB,58,62,24,1.0,0.069,1.0
78,popB,59,61,8,1.0,0.070,1.0
79,popB,60,60,57,1.0,0.070,1.0
80,popB,60,60,20,0.5,0.069,1.0
81,popB,60,60,11,1.0,0.069,1.0
82,popB,61,59,72,1.0,0.070,1.0
83,popB,62,58,76,1.0,0.070,1.0
84,popB,61,59,85,0.5,0.070,1.0
85,popB,61,59,7,0.5,0.070,1.0
86,popB,61,59,64,0.5,0.070,1.0
87,popB,61,59,90,1.0,0.070,1.0
88,popB,61,59,70,1.0,0.070,1.0
89,popB,62,58,98,1.0,0.070,1.0
90,popB,61,59,119,0.5,0.070,1.0
91,popB,61,59,110,0.5,0.070,1.0
92,popB,61,59,10,0.5,0.070,1.0
93,popB,62,58,27,1.0,0.071,1.0
94,popB,63,57,111,1.0,0.071,1.0
95,popB,64,56,77,1.0,0.071,1.0
96,popB,65,55,48,1.0,0.071,1.0
97,popB,66,54,0,1.0,0.071,1.0
98,popB,66,54,93,1.0,0.071,1.0
99,popB,66,54,51,1.0,0.071,1.0
100,popB,65,55,50,0.5,0.071,1.0
101,popB,66,54,83,1.0,0.071,1.0
102,popB,67,53,103,1.0,0.071,1.0
103,popB,66,54,90,0.5,0.071,1.0
104,popB,66,54,1,0.5,0.071,1.0
105,popB,65,55,57,0.5,0.071,1.0
106,popB,65,55,97,1.0,0.071,1.0
107,popB,65,55,41,0.5,0.071,1.0
108,popB,64,56,55,0.5,0.071,1.0
109,popB,65,55,35,1.0,0.071,1.0
110,popB,64,56,107,0.5,0.070,1.0
111,popB,64,56,95,0.5,0.070,1.0
112,popB,63,57,89,0.5,0.070,1.0
113,popB,62,58,79,0.5,0.069,1.0
114,popB,62,58,109,0.5,0.069,1.0
115,popB,62,58,65,1.0,0.069,1.0
116,popB,63,57,95,1.0,0.069,1.0
117,popB,64,56,5,1.0,0.070,1.0
118,popB,64,56,44,1.0,0.070,1.0
119,popB,63,57,61,0.5,0.069,1.0
120,popB,64,56,89,1.0,0.069,1.0
121,popB,64,56,9,1.0,0.070,1.0
122,popB,64,56,13,1.0,0.070,1.0
123,popB,63,57,44,0.5,0.069,1.0
124,popB,64,56,18,1.0,0.070,1.0
125,popB,64,56,103,1.0,0.071,1.0
126,popB,63,57,99,0.5,0.071,1.0
127,popB,63,57,68,1.0,0.070,1.0
128,popB,62,58,22,0.5,0.069,1.0
129,popB,61,59,73,0.5,0.070,1.0
130,popB,60,60,94,0.5,0.069,1.0
131,popB,60,60,115,0.5,0.069,1.0
132,popB,61,59,25,1.0,0.070,1.0
133,popB,61,59,2,1.0,0.069,1.0
134,popB,61,59,104,1.0,0.069,1.0
135,popB,62,58,47,1.0,0.069,1.0
136,popB,61,59,89,0.5,0.070,1.0
137,popB,60,60,51,0.5,0.070,1.0
138,popB,60,60,73,0.5,0.069,1.0
139,popB,61,59,40,1.0,0.070,1.0
140,popB,60,60,86,0.5,0.069,1.0
141,popB,59,61,98,0.5,0.069,1.0
142,popB,59,61,72,1.0,0.069,1.0
143,popB,60,60,43,1.0,0.070,1.0
144,popB,60,60,82,0.5,0.069,1.0
145,popB,60,60,69,0.5,0.069,1.0
146,popB,59,61,11,0.5,0.069,1.0
147,popB,59,61,89,0.5,0.069,1.0
148,popB,59,61,119,0.5,0.069,1.0
149,popB,59,61,7,0.5,0.069,1.0
150,popB,59,61,38,1.0,0.069,1.0
151,popB,59,61,100,0.5,0.069,1.0
152,popB,59,61,85,0.5,0.069,1.0
153,popB,58,62,40,0.5,0.068,1.0
154,popB,57,63,103,0.5,0.068,1.0
155,popB,57,63,39,1.0,0.068,1.0
156,popB,57,63,67,0.5,0.068,1.0
157,popB,58,62,118,1.0,0.068,1.0
158,popB,59,61,40,1.0,0.069,1.0
159,popB,58,62,95,0.5,0.069,1.0
160,popB,59,61,88,1.0,0.069,1.0
161,popB,60,60,1,1.0,0.069,1.0
162,popB,60,60,37,1.0,0.069,1.0
163,popB,61,59,99,1.0,0.070,1.0
164,popB,62,58,92,1.0,0.070,1.0
165,popB,61,59,5,0.5,0.069,1.0
166,popB,61,59,62,0.5,0.069,1.0
167,popB,60,60,77,0.5,0.069,1.0
168,popB,60,60,109,0.5,0.069,1.0
169,popB,60,60,50,0.5,0.069,1.0
170,popB,60,60,16,1.0,0.069,1.0
171,popB,60,60,83,1.0,0.069,1.0
172,popB,59,61,92,0.5,0.069,1.0
173,popB,58,62,104,0.5,0.069,1.0
174,popB,58,62,12,0.5,0.069,1.0
175,popB,59,61,42,1.0,0.069,1.0
176,popB,60,60,63,1.0,0.070,1.0
177,popB,60,60,115,0.5,0.070,1.0
178,popB,60,60,77,0.5,0.070,1.0
179,popB,60,60,59,0.5,0.070,1.0
180,popB,61,59,79,1.0,0.070,1.0
181,popB,62,58,94,1.0,0.071,1.0
182,popB,62,58,82,0.5,0.070,1.0
183,popB,63,57,113,1.0,0.070,1.0
184,popB,62,58,93,0.5,0.070,1.0
185,popB,61,59,34,0.5,0.070,1.0
186,popB,60,60,8,0.5,0.070,1.0
187,popB,61,59,92,1.0,0.069,1.0
188,popB,60,60,39,0.5,0.069,1.0
189,popB,59,61,1,0.5,0.069,1.0
190,popB,60,60,31,1.0,0.070,1.0
191,popB,60,60,44,0.5,0.070,1.0
192,popB,61,59,104,1.0,0.071,1.0
193,popB,60,60,114,0.5,0.070,1.0
194,popB,59,61,24,0.5,0.069,1.0
195,popB,60,60,61,1.0,0.069,1.0
196,popB,60,60,11,0.5,0.069,1.0
197,popB,61,59,28,1.0,0.069,1.0
198,popB,61,59,19,1.0,0.070,1.0
199,popB,61,59,40,1.0,0.070,1.0
200,popB,61,59,86,0.5,0.070,1.0
201,popB,60,60,118,0.5,0.069,1.0
202,popB,61,59,50,1.0,0.069,1.0
203,popB,60,60,92,0.5,0.069,1.0
204,popB,61,59,91,1.0,0.070,1.0
205,popB,60,60,42,0.5,0.070,1.0
206,popB,59,61,104,0.5,0.069,1.0
207,popB,58,62,33,0.5,0.069,1.0
208,popB,57,63,46,0.5,0.068,1.0
209,popB,57,63,55,0.5,0.069,1.0
210,popB,56,64,94,0.5,0.069,1.0
211,popB,56,64,97,1.0,0.069,1.0
212,popB,55,65,47,0.5,0.068,1.0
213,popB,56,64,5,1.0,0.068,1.0
214,popB,57,63,30,1.0,0.069,1.0
215,popB,57,63,10,0.5,0.069,1.0
216,popB,57,63,78,0.5,0.069,1.0
217,popB,56,64,60,0.5,0.069,1.0
218,popB,56,64,28,1.0,0.068,1.0
219,popB,55,65,81,0.5,0.068,1.0
220,popB,56,64,105,1.0,0.069,1.0
221,popB,57,63,94,1.0,0.068,1.0
222,popB,58,62,24,1.0,0.069,1.0
223,popB,57,63,63,0.5,0.068,1.0
224,popB,57,63,17,0.5,0.069,1.0
225,popB,58,62,81,1.0,0.069,1.0
226,popB,57,63,70,0.5,0.069,1.0
227,popB,58,62,82,1.0,0.069,1.0
228,popB,59,61,1,1.0,0.069,1.0
229,popB,60,60,116,1.0,0.069,1.0
230,popB,60,60,0,1.0,0.069,1.0
231,popB,61,59,46,1.0,0.070,1.0
232,popB,62,58,29,1.0,0.069,1.0
233,popB,62,58,75,0.5,0.069,1.0
234,popB,62,58,37,1.0,0.069,1.0
235,popB,62,58,36,1.0,0.069,1.0
236,popB,62,58,55,0.5,0.069,1.0
237,popB,62,58,65,1.0,0.069,1.0
238,popB,62,58,109,0.5,0.069,1.0
239,popB,62,58,43,1.0,0.069,1.0
240,popB,62,58,109,0.5,0.069,1.0
241,popB,62,58,106,0.5,0.069,1.0
242,popB,62,58,102,1.0,0.069,1.0
243,popB,62,58,114,0.5,0.069,1.0
244,popB,61,59,46,0.5,0.070,1.0
245,popB,61,59,91,1.0,0.069,1.0
246,popB,62,58,20,1.0,0.070,1.0
247,popB,63,57,110,1.0,0.070,1.0
248,popB,63,57,29,1.0,0.070,1.0
249,popB,63,57,99,1.0,0.070,1.0
250,popB,64,56,53,1.0,0.070,1.0
251,popB,65,55,77,1.0,0.070,1.0
252,popB,66,54,98,1.0,0.070,1.0
253,popB,67,53,75,1.0,0.070,1.0
254,popB,67,53,119,0.5,0.071,1.0
255,popB,66,54,77,0.5,0.070,1.0
256,popB,65,55,50,0.5,0.070,1.0
257,popB,64,56,20,0.5,0.069,1.0
258,popB,64,56,110,1.0,0.069,1.0
259,popB,65,55,50,1.0,0.069,1.0
260,popB,65,55,48,1.0,0.069,1.0
261,popB,65,55,79,1.0,0.069,1.0
262,popB,66,54,39,1.0,0.071,1.0
263,popB,65,55,110,0.5,0.070,1.0
264,popB,64,56,1,0.5,0.070,1.0
265,popB,64,56,47,0.5,0.070,1.0
266,popB,64,56,100,0.5,0.070,1.0
267,popB,63,57,80,0.5,0.070,1.0
268,popB,62,58,71,0.5,0.070,1.0
269,popB,63,57,101,1.0,0.070,1.0
270,popB,63,57,37,1.0,0.070,1.0
271,popB,63,57,51,0.5,0.070,1.0
272,popB,63,57,31,1.0,0.070,1.0
273,popB,62,58,79,0.5,0.070,1.0
274,popB,62,58,74,1.0,0.069,1.0
275,popB,62,58,42,0.5,0.069,1.0
276,popB,62,58,24,1.0,0.069,1.0
277,popB,63,57,67,1.0,0.070,1.0
278,popB,62,58,113,0.5,0.070,1.0
279,popB,63,57,78,1.0,0.070,1.0
280,popB,63,57,99,1.0,0.070,1.0
281,popB,63,57,47,0.5,0.070,1.0
282,popB,63,57,32,1.0,0.070,1.0
283,popB,63,57,92,0.5,0.070,1.0
284,popB,63,57,39,1.0,0.070,1.0
285,popB,64,56,1,1.0,0.070,1.0
286,popB,64,56,13,1.0,0.070,1.0
287,popB,64,56,3,1.0,0.070,1.0
288,popB,65,55,89,1.0,0.070,1.0
289,popB,64,56,89,0.5,0.070,1.0
290,popB,64,56,6,0.5,0.070,1.0
291,popB,64,56,66,1.0,0.070,1.0
292,popB,63,57,29,0.5,0.070,1.0
293,popB,62,58,58,0.5,0.070,1.0
294,popB,62,58,13,1.0,0.070,1.0
295,popB,62,58,25,1.0,0.070,1.0
296,popB,61,59,53,0.5,0.069,1.0
297,popB,61,59,52,1.0,0.069,1.0
298,popB,61,59,85,0.5,0.069,1.0
299,popB,62,58,62,1.0,0.069,1.0
300,popB,63,57,103,1.0,0.070,1.0
301,popB,63,57,89,0.5,0.070,1.0
302,popB,62,58,5,0.5,0.070,1.0
303,popB,63,57,42,1.0,0.070,1.0
304,popB,63,57,114,0.5,0.070,1.0
305,popB,64,56,80,1.0,0.070,1.0
306,popB,63,57,72,0.5,0.071,1.0
307,popB,63,57,89,0.5,0.070,1.0
308,popB,63,57,0,1.0,0.070,1.0
309,popB,63,57,34,0.5,0.070,1.0
310,popB,63,57,45,0.5,0.070,1.0
311,popB,62,58,24,0.5,0.070,1.0
312,popB,62,58,1,1.0,0.070,1.0
313,popB,62,58,17,0.5,0.070,1.0
314,popB,63,57,113,1.0,0.070,1.0
315,popB,63,57,83,1.0,0.070,1.0
316,popB,64,56,64,1.0,0.070,1.0
317,popB,65,55,11,1.0,0.069,1.0
318,popB,66,54,84,1.0,0.070,1.0
319,popB,65,55,66,0.5,0.070,1.0
320,popB,65,55,60,0.5,0.070,1.0
321,popB,66,54,60,1.0,0.070,1.0
322,popB,66,54,45,0.5,0.070,1.0
323,popB,66,54,109,0.5,0.070,1.0
324,popB,66,54,61,1.0,0.070,1.0
325,popB,65,55,16,0.5,0.070,1.0
326,popB,66,54,86,1.0,0.070,1.0
327,popB,66,54,109,0.5,0.071,1.0
328,popB,67,53,87,1.0,0.071,1.0
329,popB,66,54,37,0.5,0.071,1.0
330,popB,66,54,76,1.0,0.071,1.0
331,popB,65,55,62,0.5,0.070,1.0
332,popB,65,55,66,0.5,0.070,1.0
333,popB,65,55,101,1.0,0.070,1.0
334,popB,65,55,13,1.0,0.070,1.0
335,popB,66,54,118,1.0,0.071,1.0
336,popB,66,54,105,1.0,0.070,1.0
