Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Mutation,Prod_rt ,Min 
0,popB,57,63,61,1,1.404,1
1,popB,57,63,35,1,1.404,1
2,popB,56,64,47,100,1.682,1
3,popB,55,65,79,100,1.697,1
4,popB,54,66,26,100,1.754,1
5,popB,55,65,52,1,1.597,1
6,popA,55,65,0,0,1.597,1
7,popB,56,64,106,1,1.671,1
8,popB,56,64,57,1,1.671,1
9,popA,56,64,0,0,1.671,1
10,popB,55,65,10,100,1.811,1
11,popB,55,65,41,100,1.811,1
12,popA,55,65,0,0,1.811,1
13,popB,56,64,96,1,1.845,1
14,popB,55,65,36,100,1.647,1
15,popB,55,65,23,100,1.647,1
16,popB,54,66,72,100,1.759,1
17,popB,55,65,104,1,1.829,1
18,popB,55,65,97,100,1.829,1
19,popA,55,65,0,0,1.829,1
20,popA,55,65,0,0,1.829,1
21,popB,56,64,58,1,1.775,1
22,popB,57,63,62,1,1.816,1
23,popB,56,64,62,100,1.775,1
24,popB,57,63,85,1,1.652,1
25,popB,58,62,10,1,1.573,1
26,popB,58,62,99,1,1.573,1
27,popB,58,62,45,100,1.573,1
28,popB,58,62,12,100,1.573,1
29,popB,57,63,21,100,1.732,1
30,popB,57,63,21,100,1.732,1
31,popB,58,62,69,1,1.441,1
32,popB,58,62,29,100,1.441,1
33,popB,58,62,28,100,1.441,1
34,popB,57,63,58,100,1.353,1
35,popB,57,63,3,1,1.353,1
36,popB,57,63,5,100,1.353,1
37,popB,57,63,25,1,1.353,1
38,popB,56,64,17,100,1.519,1
39,popB,56,64,114,100,1.519,1
40,popB,56,64,7,100,1.519,1
41,popB,57,63,28,1,1.587,1
42,popB,57,63,33,100,1.587,1
43,popB,57,63,78,1,1.587,1
44,popB,58,62,119,1,1.64,1
45,popB,57,63,52,100,1.537,1
46,popB,57,63,93,1,1.537,1
47,popB,57,63,104,1,1.537,1
48,popB,58,62,103,1,1.579,1
49,popB,59,61,33,1,1.854,1
50,popA,59,61,0,0,1.854,1
51,popA,59,61,0,0,1.854,1
52,popA,59,61,0,0,1.854,1
53,popA,59,61,0,0,1.854,1
54,popB,59,61,49,1,1.854,1
55,popB,59,61,58,100,1.854,1
56,popB,59,61,44,100,1.854,1
57,popB,60,60,110,1,1.553,1
58,popB,59,61,34,100,1.481,1
59,popB,59,61,47,100,1.481,1
60,popB,59,61,35,1,1.481,1
61,popA,59,61,0,0,1.481,1
62,popB,60,60,26,1,1.428,1
63,popB,59,61,88,100,1.656,1
64,popB,60,60,88,1,1.428,1
65,popB,60,60,4,1,1.428,1
66,popB,61,59,24,1,1.484,1
67,popB,62,58,59,1,1.47,1
68,popB,62,58,117,1,1.47,1
69,popB,61,59,87,100,1.563,1
70,popA,61,59,0,0,1.563,1
71,popB,60,60,10,100,1.729,1
72,popA,60,60,0,0,1.729,1
73,popB,60,60,104,1,1.729,1
74,popB,60,60,72,100,1.729,1
75,popB,59,61,57,100,1.65,1
76,popB,58,62,63,100,1.727,1
77,popB,58,62,42,100,1.727,1
78,popB,58,62,87,100,1.727,1
79,popB,59,61,53,1,1.797,1
80,popB,59,61,92,100,1.797,1
81,popB,59,61,119,1,1.797,1
82,popB,60,60,65,1,1.66,1
83,popB,60,60,59,1,1.66,1
84,popB,59,61,106,100,1.659,1
85,popB,58,62,1,100,1.659,1
86,popB,57,63,77,100,1.747,1
87,popB,57,63,83,1,1.747,1
88,popB,57,63,13,100,1.747,1
89,popB,57,63,13,100,1.747,1
90,popB,58,62,5,1,1.747,1
91,popB,59,61,114,1,1.704,1
92,popB,59,61,65,1,1.704,1
93,popB,59,61,66,1,1.704,1
94,popB,58,62,86,100,1.758,1
95,popB,57,63,81,100,1.773,1
96,popB,57,63,107,1,1.773,1
97,popB,57,63,62,100,1.773,1
98,popB,57,63,86,100,1.773,1
99,popB,57,63,19,1,1.773,1
100,popB,58,62,52,1,1.712,1
101,popB,59,61,41,1,1.842,1
102,popB,60,60,6,1,1.842,1
103,popB,59,61,66,100,1.869,1
104,popA,59,61,0,0,1.869,1
105,popB,59,61,54,100,1.869,1
106,popB,58,62,73,100,1.708,1
107,popB,59,61,86,1,1.582,1
108,popB,58,62,48,100,1.803,1
109,popB,59,61,10,1,1.407,1
110,popB,59,61,9,100,1.407,1
111,popB,59,61,40,1,1.407,1
112,popB,59,61,101,100,1.407,1
113,popB,58,62,5,100,1.407,1
114,popB,59,61,87,1,1.661,1
115,popB,60,60,91,1,1.692,1
116,popB,60,60,14,1,1.692,1
117,popB,59,61,104,100,1.534,1
118,popB,58,62,31,100,1.558,1
119,popB,58,62,12,100,1.558,1
120,popB,58,62,73,100,1.558,1
121,popB,57,63,112,100,1.573,1
122,popB,56,64,32,100,1.663,1
123,popB,55,65,22,100,1.704,1
124,popB,56,64,92,1,1.55,1
125,popB,56,64,14,1,1.55,1
126,popB,56,64,23,100,1.55,1
127,popB,56,64,97,100,1.55,1
128,popB,56,64,2,100,1.55,1
129,popB,56,64,96,1,1.55,1
130,popB,56,64,59,1,1.55,1
131,popB,56,64,42,100,1.55,1
132,popB,56,64,84,1,1.55,1
133,popB,56,64,91,1,1.55,1
134,popA,56,64,0,0,1.55,1
135,popB,57,63,76,1,1.706,1
136,popB,57,63,87,1,1.706,1
137,popA,57,63,0,0,1.706,1
138,popB,57,63,77,100,1.706,1
139,popB,57,63,25,1,1.706,1
140,popB,57,63,10,1,1.706,1
141,popB,57,63,108,100,1.706,1
142,popB,57,63,6,1,1.706,1
143,popB,56,64,53,100,1.723,1
144,popB,56,64,35,1,1.723,1
145,popB,56,64,4,1,1.723,1
146,popB,56,64,34,100,1.723,1
147,popB,57,63,115,1,1.414,1
148,popB,57,63,94,1,1.414,1
149,popB,58,62,2,1,1.414,1
150,popB,58,62,88,1,1.414,1
151,popB,59,61,7,1,1.605,1
152,popB,59,61,42,100,1.605,1
153,popB,59,61,10,1,1.605,1
154,popB,59,61,113,1,1.605,1
155,popB,59,61,114,1,1.605,1
156,popB,58,62,113,100,1.575,1
157,popB,58,62,39,1,1.575,1
158,popB,58,62,12,100,1.575,1
159,popB,57,63,35,100,1.673,1
160,popB,56,64,24,100,1.567,1
161,popB,56,64,26,1,1.567,1
162,popB,56,64,119,1,1.567,1
163,popB,56,64,92,1,1.567,1
164,popB,56,64,10,1,1.567,1
165,popB,56,64,77,100,1.567,1
166,popB,57,63,101,1,1.46,1
167,popB,57,63,57,100,1.46,1
168,popB,57,63,63,100,1.46,1
169,popB,57,63,104,100,1.46,1
170,popB,57,63,89,100,1.46,1
171,popB,57,63,56,100,1.46,1
172,popB,58,62,77,1,1.562,1
173,popA,58,62,0,0,1.562,1
174,popB,58,62,21,100,1.562,1
175,popA,58,62,0,0,1.562,1
176,popB,58,62,72,100,1.562,1
177,popB,58,62,7,1,1.562,1
178,popB,59,61,56,1,1.48,1
179,popB,58,62,0,100,1.48,1
180,popB,58,62,39,1,1.48,1
181,popB,57,63,85,100,1.529,1
182,popA,57,63,0,0,1.529,1
183,popA,57,63,0,0,1.529,1
184,popB,57,63,89,100,1.529,1
185,popB,57,63,39,1,1.529,1
186,popB,57,63,36,100,1.529,1
187,popB,57,63,73,100,1.529,1
188,popB,56,64,3,100,1.529,1
189,popB,57,63,32,1,1.617,1
190,popB,58,62,90,1,1.664,1
191,popB,58,62,107,1,1.664,1
192,popB,58,62,48,100,1.664,1
193,popB,58,62,98,1,1.664,1
194,popB,58,62,113,100,1.664,1
195,popB,59,61,5,1,1.664,1
196,popB,59,61,28,1,1.664,1
197,popB,60,60,18,1,1.524,1
198,popB,61,59,85,1,1.444,1
199,popB,61,59,19,1,1.444,1
200,popA,61,59,0,0,1.444,1
201,popB,61,59,6,1,1.444,1
202,popB,61,59,55,1,1.444,1
203,popB,62,58,12,1,1.401,1
204,popA,62,58,0,0,1.401,1
205,popB,63,57,43,1,1.214,1
206,popB,63,57,30,100,1.214,1
207,popB,63,57,112,100,1.214,1
208,popB,63,57,1,100,1.214,1
209,popB,62,58,117,100,1.213,1
210,popB,63,57,104,1,1.31,1
211,popB,63,57,24,100,1.31,1
212,popB,62,58,109,100,1.363,1
213,popB,62,58,34,100,1.363,1
214,popB,62,58,40,1,1.363,1
215,popB,61,59,118,100,1.271,1
216,popB,60,60,51,100,1.262,1
217,popB,61,59,105,1,1.278,1
218,popB,62,58,118,1,1.247,1
219,popB,63,57,71,1,1.374,1
220,popB,62,58,87,100,1.353,1
221,popB,63,57,64,1,1.294,1
222,popB,62,58,103,100,1.234,1
223,popB,63,57,108,1,1.314,1
224,popB,64,56,74,1,1.254,1
225,popB,63,57,19,100,1.388,1
226,popB,64,56,17,1,1.257,1
227,popB,64,56,100,1,1.257,1
228,popB,64,56,0,100,1.257,1
229,popB,64,56,0,100,1.257,1
230,popB,64,56,15,100,1.257,1
231,popB,64,56,29,100,1.257,1
232,popB,63,57,71,100,1.24,1
233,popB,62,58,6,100,1.24,1
234,popB,62,58,31,100,1.24,1
235,popB,62,58,68,1,1.24,1
236,popB,62,58,87,100,1.24,1
237,popB,62,58,113,100,1.24,1
238,popB,61,59,7,100,1.475,1
239,popB,60,60,25,100,1.284,1
240,popB,60,60,51,100,1.284,1
241,popB,61,59,20,1,1.295,1
242,popB,60,60,49,100,1.287,1
243,popB,60,60,63,100,1.287,1
244,popB,60,60,41,1,1.287,1
245,popB,60,60,20,1,1.287,1
246,popB,61,59,111,1,1.421,1
247,popB,62,58,31,1,1.409,1
248,popA,62,58,0,0,1.409,1
249,popB,61,59,118,100,1.292,1
250,popB,60,60,101,100,1.505,1
251,popA,60,60,0,0,1.505,1
252,popB,61,59,25,1,1.236,1
253,popB,60,60,12,100,1.644,1
254,popA,60,60,0,0,1.644,1
255,popA,60,60,0,0,1.644,1
256,popB,60,60,64,1,1.644,1
257,popB,60,60,13,100,1.644,1
258,popB,59,61,25,100,1.71,1
259,popB,59,61,106,100,1.71,1
260,popB,58,62,43,100,1.569,1
261,popB,57,63,68,100,1.481,1
262,popB,57,63,111,1,1.481,1
263,popB,57,63,10,1,1.481,1
264,popB,57,63,11,100,1.481,1
265,popB,57,63,80,1,1.481,1
266,popB,58,62,95,1,1.523,1
267,popB,59,61,46,1,1.663,1
268,popB,60,60,1,1,1.663,1
269,popB,60,60,16,100,1.663,1
270,popB,61,59,63,1,1.579,1
271,popB,60,60,98,100,1.582,1
272,popB,60,60,28,1,1.582,1
273,popA,60,60,0,0,1.582,1
274,popB,59,61,28,100,1.572,1
275,popB,59,61,28,100,1.572,1
276,popB,58,62,108,100,1.831,1
277,popA,58,62,0,0,1.831,1
278,popB,58,62,104,1,1.831,1
279,popB,58,62,90,1,1.831,1
280,popA,58,62,0,0,1.831,1
281,popB,57,63,32,100,1.421,1
282,popB,58,62,48,1,1.428,1
283,popB,58,62,86,1,1.428,1
284,popB,58,62,59,1,1.428,1
285,popB,59,61,113,1,1.543,1
286,popB,59,61,25,100,1.543,1
287,popB,58,62,18,100,1.742,1
288,popB,58,62,38,1,1.742,1
289,popB,58,62,23,100,1.742,1
290,popB,58,62,28,100,1.742,1
291,popA,58,62,0,0,1.742,1
292,popB,59,61,75,1,1.697,1
293,popB,59,61,74,1,1.697,1
294,popB,59,61,74,1,1.697,1
295,popB,59,61,11,100,1.697,1
296,popB,58,62,111,100,1.622,1
297,popA,58,62,0,0,1.622,1
298,popB,58,62,5,1,1.622,1
299,popB,58,62,98,100,1.622,1
300,popB,58,62,17,1,1.622,1
301,popB,57,63,63,100,1.631,1
302,popB,56,64,1,100,1.631,1
303,popB,56,64,113,1,1.631,1
304,popB,57,63,44,1,1.556,1
305,popB,56,64,113,100,1.571,1
306,popA,56,64,0,0,1.571,1
307,popB,56,64,31,1,1.571,1
308,popB,56,64,48,1,1.571,1
309,popB,55,65,55,100,1.527,1
310,popB,55,65,84,1,1.527,1
311,popB,55,65,14,1,1.527,1
312,popB,55,65,41,1,1.527,1
313,popB,56,64,81,1,1.56,1
314,popB,56,64,25,100,1.56,1
315,popB,56,64,106,100,1.56,1
316,popB,56,64,43,100,1.56,1
317,popB,57,63,32,1,1.705,1
318,popB,57,63,54,100,1.705,1
319,popB,57,63,109,100,1.705,1
320,popB,56,64,67,100,1.751,1
321,popB,56,64,17,1,1.751,1
322,popB,57,63,28,1,1.605,1
323,popB,57,63,98,100,1.605,1
324,popB,56,64,52,100,1.638,1
325,popB,55,65,104,100,1.869,1
326,popA,55,65,0,0,1.869,1
327,popA,55,65,0,0,1.869,1
328,popB,54,66,88,100,1.589,1
329,popB,54,66,9,100,1.589,1
330,popB,55,65,52,1,1.779,1
331,popA,55,65,0,0,1.779,1
332,popA,55,65,0,0,1.779,1
333,popB,54,66,75,100,1.61,1
334,popB,54,66,79,100,1.61,1
335,popB,53,67,61,100,1.75,1
336,popB,52,68,85,100,1.745,1
337,popB,52,68,109,100,1.745,1
338,popB,51,69,2,100,1.745,1
339,popA,51,69,0,0,1.745,1
340,popB,51,69,78,1,1.745,1
341,popB,52,68,8,1,1.273,1
342,popB,52,68,103,100,1.273,1
343,popB,53,67,58,1,1.231,1
344,popB,54,66,49,1,1.358,1
345,popB,53,67,27,100,1.36,1
346,popB,52,68,28,100,1.374,1
347,popB,53,67,28,1,1.36,1
348,popB,53,67,68,100,1.36,1
349,popB,53,67,27,100,1.36,1
350,popB,52,68,59,100,1.493,1
351,popB,53,67,35,1,1.395,1
352,popA,53,67,0,0,1.395,1
353,popB,53,67,112,100,1.395,1
354,popB,54,66,70,1,1.353,1
355,popB,55,65,118,1,1.292,1
356,popB,55,65,98,100,1.292,1
357,popB,54,66,70,100,1.206,1
358,popB,55,65,54,1,1.324,1
359,popB,55,65,83,1,1.324,1
360,popB,56,64,15,1,1.343,1
361,popB,56,64,95,1,1.343,1
362,popA,56,64,0,0,1.343,1
363,popB,56,64,119,1,1.343,1
364,popB,57,63,24,1,1.316,1
365,popB,57,63,54,1,1.316,1
366,popB,57,63,47,100,1.316,1
367,popB,57,63,118,1,1.316,1
368,popB,56,64,80,100,1.318,1
369,popA,56,64,0,0,1.318,1
370,popB,56,64,108,100,1.318,1
371,popB,56,64,66,100,1.318,1
372,popB,57,63,97,1,1.448,1
373,popB,57,63,77,1,1.448,1
374,popB,57,63,101,100,1.448,1
375,popB,58,62,89,1,1.397,1
376,popA,58,62,0,0,1.397,1
377,popB,58,62,32,1,1.397,1
378,popB,59,61,101,1,1.423,1
379,popB,59,61,117,100,1.423,1
380,popB,59,61,102,1,1.423,1
381,popB,58,62,58,100,1.407,1
382,popB,58,62,96,1,1.407,1
383,popB,57,63,54,100,1.303,1
384,popB,57,63,43,100,1.303,1
385,popB,56,64,94,100,1.234,1
