Generation,Population,Slow_Count,Fast_Count,Mut_Loc,Mutation,Prod_rt,Min 
0,popB,56,64,76,0.5,0.071,0.5
1,popB,56,64,90,1.0,0.087,0.5
2,popB,57,63,49,0.5,0.056,0.5
3,popB,57,63,34,1.0,0.056,0.5
4,popB,57,63,54,0.5,0.056,0.5
5,popB,58,62,27,0.5,0.056,0.5
6,popA,58,62,0,0,0.078,0.5
7,popA,58,62,0,0,0.078,0.5
8,popA,58,62,0,0,0.078,0.5
9,popB,58,62,109,0.5,0.040,0.5
10,popA,58,62,0,0,0.078,0.5
11,popB,59,61,30,0.5,0.056,0.5
12,popB,59,61,65,0.5,0.056,0.5
13,popB,60,60,105,0.5,0.056,0.5
14,popB,59,61,96,1.0,0.040,0.5
15,popA,59,61,0,0,0.077,0.5
16,popA,59,61,0,0,0.077,0.5
17,popA,59,61,0,0,0.077,0.5
18,popA,59,61,0,0,0.077,0.5
19,popB,58,62,111,1.0,0.040,0.5
20,popB,58,62,11,0.5,0.040,0.5
21,popA,58,62,0,0,0.077,0.5
22,popA,58,62,0,0,0.077,0.5
23,popB,57,63,108,1.0,0.040,0.5
24,popA,57,63,0,0,0.077,0.5
25,popB,57,63,36,0.5,0.040,0.5
26,popB,58,62,8,0.5,0.057,0.5
27,popB,57,63,36,1.0,0.075,0.5
28,popB,57,63,55,1.0,0.075,0.5
29,popB,58,62,114,0.5,0.075,0.5
30,popB,58,62,91,1.0,0.075,0.5
31,popB,58,62,90,1.0,0.075,0.5
32,popA,58,62,0,0,0.094,0.5
33,popB,58,62,52,1.0,0.075,0.5
34,popB,59,61,68,0.5,0.075,0.5
35,popB,59,61,63,1.0,0.093,0.5
36,popB,59,61,56,1.0,0.093,0.5
37,popB,60,60,100,0.5,0.093,0.5
38,popB,60,60,47,1.0,0.093,0.5
39,popB,61,59,31,0.5,0.093,0.5
40,popB,61,59,107,1.0,0.093,0.5
41,popB,61,59,23,0.5,0.093,0.5
42,popB,61,59,25,0.5,0.093,0.5
43,popB,62,58,70,0.5,0.093,0.5
44,popB,62,58,1,1.0,0.075,0.5
45,popB,63,57,10,0.5,0.075,0.5
46,popB,62,58,10,1.0,0.075,0.5
47,popB,62,58,2,0.5,0.075,0.5
48,popB,62,58,90,1.0,0.075,0.5
49,popB,61,59,109,1.0,0.092,0.5
50,popB,61,59,23,0.5,0.092,0.5
51,popB,60,60,26,1.0,0.093,0.5
52,popB,60,60,72,0.5,0.092,0.5
53,popB,59,61,25,1.0,0.069,0.5
54,popB,58,62,14,1.0,0.069,0.5
55,popB,57,63,76,1.0,0.070,0.5
56,popB,57,63,103,1.0,0.070,0.5
57,popB,56,64,93,1.0,0.070,0.5
58,popB,56,64,38,0.5,0.068,0.5
